Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKA_M_R
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
104,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
105,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
106,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
107,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
110,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
112,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
115,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
117,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
118,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
119,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
120,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
122,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
124,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
125,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
126,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
127,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
128,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
129,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
130,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
131,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
132,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
133,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
136,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
139,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
140,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
144,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
145,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
146,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
147,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
148,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
149,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
150,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
151,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
153,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
154,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
155,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
156,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Wetland
157,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
158,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Wetland
159,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
162,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
163,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
164,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Wetland
165,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
166,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
167,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
168,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
169,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
171,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
172,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
173,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
174,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
176,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
177,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
178,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
179,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
180,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
181,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
182,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
183,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
184,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
185,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
186,NULL,NULL,Water,Water,Water,Water,Water,Wetland
187,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
189,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
191,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
196,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
197,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
201,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
205,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
207,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
209,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
210,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
212,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
217,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
220,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
221,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
222,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
223,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
224,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
225,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
226,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Wetland
227,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
229,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
230,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
234,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
235,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
236,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
237,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
240,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
241,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
244,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
245,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
246,NULL,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
247,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
248,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
249,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
250,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
251,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
252,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
253,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
254,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
255,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
256,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
257,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
258,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
259,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
260,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
261,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
262,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
263,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
264,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
265,NULL,Wetland,Wetland,Water,Wetland,Wetland,NULL,Wetland
266,NULL,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Grassland
267,NULL,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Wetland
268,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
269,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
270,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
271,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
272,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
273,NULL,Wetland,Wetland,Water,Wetland,Water,Grassland,Grassland
274,NULL,Wetland,Wetland,Water,Wetland,Water,Grassland,Wetland
275,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
276,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
277,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
278,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
279,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
281,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
282,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
283,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
286,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
287,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water,Grassland,Wetland
288,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
289,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
290,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Grassland,Wetland
291,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
293,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
294,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
295,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
296,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Grassland,Wetland
297,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
298,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
299,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
300,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
301,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
302,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
305,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
306,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
307,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
308,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
309,NULL,Wetland,Water,Water,Water,Water,Grassland,Wetland
310,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
311,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
312,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
313,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
314,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
315,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
317,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
318,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
320,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
321,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
323,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
324,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
325,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Grassland,Wetland
326,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
327,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
328,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
329,NULL,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
330,NULL,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
331,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
332,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
333,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
