Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVE_M_R
116,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
117,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
118,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
119,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
120,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
121,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
122,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
123,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
124,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
125,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
126,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
127,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
128,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
129,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
130,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
131,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
132,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
133,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
134,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
135,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
136,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
137,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
138,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
139,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
140,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
142,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
143,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
144,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
145,Wetland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
146,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
147,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
148,Wetland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
149,Wetland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
150,Wetland,Bareland,Water,Water,Water,NULL,NULL,Grassland
151,Wetland,Bareland,Water,Water,Water,NULL,NULL,Bareland
152,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
153,Wetland,Bareland,Water,Water,Water,NULL,NULL,Forest
154,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
155,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
157,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
158,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
159,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
160,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
161,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
162,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
163,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
164,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
165,Wetland,Water,Water,NULL,Water,NULL,NULL,Wetland
166,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
167,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
168,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
169,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
170,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Forest
171,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
172,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
173,Wetland,Water,Water,Water,Water,NULL,NULL,Water
174,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
175,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
176,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
177,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
179,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
180,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
181,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
183,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
184,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
185,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
186,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
187,Water,NULL,Water,NULL,Water,NULL,NULL,Water
188,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
189,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
190,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
191,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
192,Water,NULL,Water,Water,Water,NULL,NULL,Water
193,Water,NULL,Water,Water,Water,NULL,NULL,Forest
194,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
195,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
197,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
198,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
199,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
200,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
201,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
202,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
203,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
204,Water,Wetland,Water,NULL,Water,NULL,NULL,Wetland
205,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
206,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
207,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
208,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
209,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
210,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
211,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
212,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
213,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
214,Water,Wetland,Water,Water,Water,NULL,NULL,Water
215,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
216,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
217,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
218,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
219,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
220,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
221,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
222,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
223,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
224,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
225,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
226,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
227,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
228,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
229,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
230,Water,Bareland,Water,Water,Water,NULL,NULL,Water
231,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
233,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
234,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
235,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
236,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
237,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
238,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
239,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
240,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
241,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
242,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
243,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
244,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
245,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
246,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
247,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
248,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
249,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
250,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
251,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
252,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
253,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
254,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
255,Water,Water,Water,NULL,Water,NULL,NULL,Water
256,Water,Water,Water,NULL,Water,NULL,NULL,Forest
257,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
258,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
259,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
260,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
261,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
262,Water,Water,Water,Water,Water,NULL,NULL,Grassland
263,Water,Water,Water,Water,Water,NULL,NULL,Wetland
264,Water,Water,Water,Water,Water,NULL,NULL,Bareland
265,Water,Water,Water,Water,Water,NULL,NULL,Water
266,Water,Water,Water,Water,Water,NULL,NULL,Forest
267,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
268,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
269,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
270,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
271,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
272,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
273,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
274,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
275,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
276,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
277,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
278,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
279,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
280,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
281,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
282,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
283,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
284,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
285,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
286,Water,Forest,Water,Water,Water,NULL,NULL,Forest
287,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
289,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
290,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
291,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
292,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
293,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
295,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
296,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
297,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
298,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
299,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
300,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
301,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
302,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
303,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
304,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
305,Forest,NULL,Water,Water,Water,NULL,NULL,Water
306,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
307,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
308,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
309,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
310,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
311,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
312,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
313,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
314,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
315,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
316,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
318,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
319,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
320,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
321,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
322,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
323,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
324,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
325,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
326,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
327,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
328,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
329,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
330,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
331,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
332,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
333,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
334,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
335,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
336,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
337,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
338,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
339,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
340,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
341,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
343,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
344,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
345,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
346,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
347,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
348,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
349,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
350,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
351,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
352,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
353,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
354,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
355,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
356,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
357,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
358,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
359,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
360,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
361,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
362,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
363,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
