Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Wetland
89,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
92,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Water
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Wetland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
203,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Wetland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Bareland,Grassland
205,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
210,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
215,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
248,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Wetland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
306,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
309,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
317,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
319,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
