Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R
1210,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1211,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1212,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1213,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1214,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
1215,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
1216,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Cropland
1217,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
1218,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
1219,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
1220,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1221,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1222,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
1223,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1224,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
1225,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
1226,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
1227,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1228,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
1229,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
1230,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1231,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Water
1232,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
1233,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
1234,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1235,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
1236,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
1237,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1238,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
1239,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
1240,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
1241,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
1242,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
1243,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
1244,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
1245,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
1246,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Cropland
1247,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
1248,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
1249,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1250,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1251,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1252,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1253,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1254,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1255,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
1256,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1257,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1258,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
1259,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1260,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1261,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1262,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
1263,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
1264,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1265,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Bareland
1266,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1267,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
1268,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Bareland
1269,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Forest,NULL
1270,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1271,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1272,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1273,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
1274,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1275,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1276,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
1277,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1278,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1279,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1280,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1281,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
1282,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1283,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1284,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1285,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1286,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1287,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1288,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1289,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1290,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
1291,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1292,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1293,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1294,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
1295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
1297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
1298,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
1301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1302,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1303,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1304,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1305,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1306,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1307,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
1308,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1314,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1315,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1316,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1317,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1318,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1319,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1320,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1321,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1322,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1323,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1324,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
1325,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1326,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
1327,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1328,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1329,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1330,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1331,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
1332,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
1333,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1334,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
1335,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Bareland
1336,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1337,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
1338,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
1339,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1340,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Bareland
1341,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1342,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Forest
1343,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
1344,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1345,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
1346,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
1347,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1348,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
1349,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1350,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Cropland
1351,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
1352,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
1353,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
1354,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
1355,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1356,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
1357,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1358,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1359,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1360,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
1361,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
1362,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
1363,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,NULL
1364,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Grassland
1365,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Cropland
1366,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Built-up
1367,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
1368,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,NULL
1369,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,Grassland
1370,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,Built-up
1371,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,Forest
1372,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Grassland
1373,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Bareland,NULL
1374,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Bareland,Grassland
1375,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Bareland,Built-up
1376,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Bareland,Forest
1377,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Built-up,NULL
1378,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Built-up,Grassland
1379,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Built-up,Bareland
1380,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Built-up,Built-up
1381,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
1382,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,NULL
1383,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Grassland
1384,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Built-up
1385,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
1386,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1387,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Bareland
1388,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1389,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Built-up
1390,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
1391,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1392,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Bareland,Built-up
1393,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,NULL
1394,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1395,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1396,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Built-up
1397,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
1398,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1399,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1400,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1401,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
1402,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
1403,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
1404,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Grassland,Grassland
1405,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland,Bareland
1406,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,NULL,Bareland
1407,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Grassland
1408,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Shrubland,Grassland
1409,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Bareland
1410,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Bareland,Grassland
1411,NULL,NULL,Built-up,Water,Non_Wetland,Water,Bareland,Bareland
1412,NULL,NULL,Built-up,Water,Non_Wetland,Forest,Forest,Water
1413,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
1414,NULL,NULL,Water,NULL,Water,NULL,Grassland,Grassland
1415,NULL,NULL,Water,NULL,Water,NULL,Bareland,Grassland
1416,NULL,NULL,Water,NULL,Water,NULL,Bareland,Bareland
1417,NULL,NULL,Water,NULL,Water,NULL,Water,NULL
1418,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Grassland
1419,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Grassland
1420,NULL,NULL,Water,NULL,Water,Shrubland,Bareland,Bareland
1421,NULL,NULL,Water,NULL,Water,Shrubland,Bareland,Water
1422,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
1423,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
1424,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Cropland
1425,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
1426,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
1427,NULL,NULL,Water,Non_Water,Water,Shrubland,Shrubland,Grassland
1428,NULL,NULL,Water,Non_Water,Water,Shrubland,Water,Grassland
1429,NULL,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
1430,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Grassland
1431,NULL,NULL,Water,Non_Water,Water,Forest,Grassland,Grassland
1432,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
1433,NULL,NULL,Water,Water,Water,NULL,Shrubland,Water
1434,NULL,NULL,Water,Water,Water,NULL,Grassland,Water
1435,NULL,NULL,Water,Water,Water,Shrubland,Shrubland,Grassland
1436,NULL,NULL,Water,Water,Water,Shrubland,Shrubland,Forest
1437,NULL,NULL,Water,Water,Water,Shrubland,Grassland,Grassland
1438,NULL,NULL,Water,Water,Water,Shrubland,Bareland,Bareland
1439,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
1440,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
1441,NULL,NULL,Water,Water,Water,Bareland,Grassland,Water
1442,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
1443,NULL,NULL,Water,Water,Water,Forest,Shrubland,Grassland
1444,NULL,NULL,Water,Water,Water,Forest,Shrubland,Cropland
1445,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1446,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1447,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1448,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1449,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1450,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
1451,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1452,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
1453,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
1454,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
1455,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Bareland
1456,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Built-up
1457,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Water
1458,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
1459,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
1460,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1461,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
1462,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Bareland
1463,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Built-up
1464,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Water
1465,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1466,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
1467,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
1468,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
1469,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
1470,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Built-up
1471,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1472,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
1473,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
1474,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
1475,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Bareland
1476,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
1477,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
1478,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,NULL
1479,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1480,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
1481,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1482,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Bareland
1483,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Built-up
1484,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1485,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
1486,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1487,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
1488,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
1489,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Bareland
1490,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Built-up
1491,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Water
1492,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1493,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1494,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1495,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1496,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1497,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1498,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1499,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Water
1500,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1501,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
1502,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1503,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1504,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1505,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1506,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Water
1507,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1508,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
1509,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1510,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Cropland
1511,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1512,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1513,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Water
1514,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
1515,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
1516,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1517,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Built-up,Cropland
1518,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1519,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
1520,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
1521,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
1522,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Cropland
1523,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
1524,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
1525,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1526,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
1527,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1528,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1529,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1530,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1531,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
1532,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
1533,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Water
1534,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1535,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
1536,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1537,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1538,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1539,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Built-up
