Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Water
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Water
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
207,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
210,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,Water
212,NULL,NULL,NULL,Water,Non_Wetland,Water,Built-up,Bareland
213,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Water
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
