Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
83,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
88,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
89,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
90,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
91,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
94,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
95,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
96,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
98,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
99,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
100,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
101,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
141,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
149,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
152,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
153,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
154,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
156,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
158,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
160,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
161,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
163,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Forest
164,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
165,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
166,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
167,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
170,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
173,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
174,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
175,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
176,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
181,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
188,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
191,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
193,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
194,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
197,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
198,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
208,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
210,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,Forest
214,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
216,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
217,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
220,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
221,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
222,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
223,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
224,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
225,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
226,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
227,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
228,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
229,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
230,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
232,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
233,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
234,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
235,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
236,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
237,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
238,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
239,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
240,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
241,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
242,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
243,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
244,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
245,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
246,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
247,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
248,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
249,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
250,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
251,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
252,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
253,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
254,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
256,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
257,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
258,NULL,NULL,Wetland,Water,Wetland,Wetland,Built-up,Grassland
259,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
260,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
261,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
262,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
263,NULL,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
264,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Water
265,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
266,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
267,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
268,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
269,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
270,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
271,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
272,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
273,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
277,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
281,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
283,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
284,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
285,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
286,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
287,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
288,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
289,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Wetland,Grassland
290,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
291,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Water
292,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
293,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
294,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
298,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
299,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
300,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
303,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
304,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
305,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
306,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
307,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
308,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
309,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
310,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
311,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
312,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
313,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
315,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
317,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
318,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
320,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
321,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
322,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
323,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
325,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
327,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
328,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
329,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
330,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
331,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
332,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
333,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
