Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R
345,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
346,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
347,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
348,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
349,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
350,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
351,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
352,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
353,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
354,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
355,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
356,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
357,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
358,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
359,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
360,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
361,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
362,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
363,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
364,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
365,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
366,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
367,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
368,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
369,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
370,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
371,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
372,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
373,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
374,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
375,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
376,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
377,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
378,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
379,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
380,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
381,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
382,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
383,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
384,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
385,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
386,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
387,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
388,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
389,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
390,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
391,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
392,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
393,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
394,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
395,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
396,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
397,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
398,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
399,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
400,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
401,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
402,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
403,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
404,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
405,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
406,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
407,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
408,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
409,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
410,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
411,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
412,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
413,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
414,Grassland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
415,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
416,Grassland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
417,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
418,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
419,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
420,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
421,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
422,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
423,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
424,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
425,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
426,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
427,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
428,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
429,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
430,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
431,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
432,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
433,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
434,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
435,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
436,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
437,Grassland,Water,Water,Water,Water,NULL,NULL,Water
438,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
439,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
440,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
441,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
442,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
443,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
444,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
445,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
446,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
447,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
448,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
449,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
450,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
451,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
452,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
453,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
454,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
455,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
456,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
457,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
458,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
459,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
460,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
461,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
462,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
463,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
464,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
465,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
466,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
467,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
468,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
469,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Cropland
470,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
471,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
472,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
473,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
474,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
475,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
476,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
477,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
478,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
479,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
480,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
481,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
482,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
483,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
484,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
485,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
486,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
487,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
488,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
489,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
490,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
491,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
492,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
493,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
494,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
495,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
496,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
497,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
498,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
499,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
500,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
501,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
502,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
503,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
504,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
505,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
506,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
507,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
508,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
509,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
510,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
511,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
512,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
513,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
514,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
515,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
516,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
517,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
518,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
519,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
520,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
521,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
522,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
523,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
524,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
525,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
526,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
527,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
528,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
529,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
530,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
531,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
532,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
533,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
534,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
535,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
536,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
537,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
538,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
539,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
540,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
541,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
542,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
543,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
544,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
545,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
546,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
547,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
548,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
549,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
550,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
551,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
552,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
553,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
554,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
555,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
556,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
557,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
558,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
559,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
560,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
561,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
562,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
563,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
564,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
565,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
566,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
567,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
568,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
569,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
570,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
571,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
572,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
573,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
574,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
575,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
576,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
577,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
578,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
579,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
580,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
581,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
582,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
583,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
584,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
585,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
586,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
587,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
588,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
589,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
590,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
591,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
592,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
593,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
594,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
595,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
596,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
597,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
598,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
599,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
600,Cropland,Cropland,Water,Water,Water,NULL,NULL,Forest
601,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
602,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
603,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
604,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
605,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
606,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
607,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
608,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
609,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
610,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
611,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
612,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
613,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
614,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
615,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
616,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
617,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
618,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
619,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
620,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
621,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
622,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
623,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
624,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
625,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
626,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
627,Cropland,Bareland,Water,Water,Water,NULL,NULL,Forest
628,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
629,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
630,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
631,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
632,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
633,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
634,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
635,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
636,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
637,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
638,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
639,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
640,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
641,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
642,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
643,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
644,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
645,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
646,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
647,Cropland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
648,Cropland,Water,Water,NULL,Water,NULL,NULL,Wetland
649,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
650,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
651,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Forest
652,Cropland,Water,Water,Water,Water,NULL,NULL,Water
653,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
654,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
655,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
656,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
657,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
658,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
659,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
660,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
661,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
662,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
663,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
664,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
665,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
666,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
667,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
668,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
669,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
670,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
671,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
672,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
673,Cropland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
674,Cropland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
675,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
676,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
677,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
678,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
679,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
680,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
681,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
682,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
683,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
684,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
685,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
686,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Cropland
687,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
688,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
689,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
690,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
691,Cropland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
692,Cropland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
693,Cropland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
694,Cropland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
