Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLN_M_R
105,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
106,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
107,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
108,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
109,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
110,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
111,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Bareland
112,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Water
113,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
114,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
115,NULL,Bareland,Water,Water,Water,NULL,Bareland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
121,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
122,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
123,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
124,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
125,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
126,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
127,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
128,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
129,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
130,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water
131,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
132,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
133,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
134,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Water
135,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
136,NULL,Water,Grassland,Water,Non_Wetland,NULL,Water
137,NULL,Water,Grassland,Water,Non_Wetland,NULL,Forest
138,NULL,Water,Wetland,NULL,Wetland,NULL,Bareland
139,NULL,Water,Wetland,NULL,Wetland,NULL,Water
140,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
141,NULL,Water,Wetland,Non_Water,Wetland,NULL,Grassland
142,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water
143,NULL,Water,Wetland,Water,Wetland,NULL,Grassland
144,NULL,Water,Wetland,Water,Wetland,NULL,Bareland
145,NULL,Water,Wetland,Water,Wetland,NULL,Water
146,NULL,Water,Wetland,Water,Wetland,NULL,Forest
147,NULL,Water,Water,NULL,Water,NULL,Grassland
148,NULL,Water,Water,NULL,Water,NULL,Water
149,NULL,Water,Water,NULL,Water,NULL,Forest
150,NULL,Water,Water,Non_Water,Water,NULL,Water
151,NULL,Water,Water,Water,Water,NULL,Wetland
152,NULL,Water,Water,Water,Water,NULL,Bareland
153,NULL,Water,Water,Water,Water,NULL,Water
154,NULL,Water,Water,Water,Water,NULL,Forest
155,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
156,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland
157,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
158,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
159,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Water
160,NULL,Water,Forest,Water,Non_Wetland,NULL,Wetland
161,NULL,Water,Forest,Water,Non_Wetland,NULL,Bareland
162,NULL,Water,Forest,Water,Non_Wetland,NULL,Water
163,NULL,Water,Forest,Water,Non_Wetland,NULL,Forest
164,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
165,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
166,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland
167,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
168,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
169,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
170,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
171,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
172,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
173,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
174,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
175,NULL,Forest,Water,Water,Water,NULL,Forest
176,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL
177,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
178,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
179,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
180,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
181,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland
182,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
183,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
184,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
185,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
186,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
187,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
188,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
189,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
190,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
191,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
192,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
193,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
194,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
195,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
196,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
197,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
198,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
199,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
200,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest
201,Grassland,NULL,Water,Non_Water,Water,NULL,Forest
202,Grassland,NULL,Water,Water,Water,NULL,Wetland
203,Grassland,NULL,Water,Water,Water,NULL,Water
204,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
205,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
206,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
207,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
208,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
209,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
210,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
211,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
212,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
213,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
214,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Water
215,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest
216,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
217,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Cropland
218,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
219,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
220,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
221,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
222,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
223,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
224,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
225,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Cropland
226,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
227,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
228,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
229,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
230,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
231,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Forest
232,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
233,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest
234,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
235,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
236,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
237,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
238,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
239,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
240,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
241,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
242,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest
243,Grassland,Forest,Water,Non_Water,Water,NULL,Forest
244,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
245,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
246,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
247,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
248,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
249,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
250,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
251,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
252,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
253,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
254,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
255,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
256,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
257,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
258,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
259,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
260,Cropland,NULL,Wetland,NULL,Wetland,NULL,Grassland
261,Cropland,NULL,Wetland,NULL,Wetland,NULL,Water
262,Cropland,NULL,Water,Water,Water,NULL,Forest
263,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
264,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
265,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
266,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
267,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Water
268,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
269,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
270,Cropland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
271,Cropland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
272,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
273,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
274,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Cropland
275,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
276,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
277,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
278,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
279,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
280,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
281,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
282,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
283,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Cropland
284,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
285,Cropland,Wetland,Wetland,Water,Wetland,NULL,Water
286,Cropland,Wetland,Wetland,Water,Wetland,NULL,Forest
287,Cropland,Wetland,Water,Water,Water,NULL,Water
288,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
289,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
290,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,Water
291,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water
292,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,Water
293,Cropland,Water,Grassland,Water,Non_Wetland,NULL,Water
294,Cropland,Water,Wetland,NULL,Wetland,NULL,Grassland
295,Cropland,Water,Wetland,NULL,Wetland,NULL,Water
296,Cropland,Water,Wetland,Non_Water,Wetland,NULL,Water
297,Cropland,Water,Wetland,Water,Wetland,NULL,Water
298,Cropland,Water,Wetland,Water,Wetland,NULL,Forest
299,Cropland,Water,Water,NULL,Water,NULL,Grassland
300,Cropland,Water,Water,Non_Water,Water,NULL,Water
301,Cropland,Water,Water,Water,Water,NULL,Grassland
302,Cropland,Water,Water,Water,Water,NULL,Bareland
303,Cropland,Water,Water,Water,Water,NULL,Water
304,Cropland,Water,Water,Water,Water,NULL,Forest
305,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL
306,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
307,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Wetland
308,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Water
309,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Forest
310,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,Water
311,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,Forest
312,Cropland,Water,Forest,Water,Non_Wetland,NULL,Grassland
313,Cropland,Water,Forest,Water,Non_Wetland,NULL,Forest
314,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
315,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
316,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
317,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
318,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
319,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
320,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL
321,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
322,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
323,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL
324,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
325,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
326,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
327,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
328,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
329,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
330,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
331,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
332,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
333,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
334,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
335,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
336,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
337,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
338,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Water
339,Wetland,NULL,Wetland,NULL,Wetland,NULL,Forest
340,Wetland,NULL,Wetland,Water,Wetland,NULL,Wetland
341,Wetland,NULL,Wetland,Water,Wetland,NULL,Water
342,Wetland,NULL,Water,Water,Water,NULL,Water
343,Wetland,NULL,Water,Water,Water,NULL,Forest
344,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
345,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
346,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
347,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Water
348,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
349,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
350,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
351,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
352,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
353,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
354,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,Water
355,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
356,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
357,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,Wetland
358,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,Water
359,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL,Water
360,Wetland,Water,Wetland,NULL,Wetland,NULL,Water
361,Wetland,Water,Wetland,NULL,Wetland,NULL,Forest
362,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Grassland
363,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water
364,Wetland,Water,Wetland,Water,Wetland,NULL,Grassland
365,Wetland,Water,Wetland,Water,Wetland,NULL,Water
366,Wetland,Water,Wetland,Water,Wetland,NULL,Forest
367,Wetland,Water,Water,NULL,Water,NULL,Wetland
368,Wetland,Water,Water,NULL,Water,NULL,Water
369,Wetland,Water,Water,NULL,Water,NULL,Forest
370,Wetland,Water,Water,Non_Water,Water,NULL,Water
371,Wetland,Water,Water,Non_Water,Water,NULL,Forest
372,Wetland,Water,Water,Water,Water,NULL,Wetland
373,Wetland,Water,Water,Water,Water,NULL,Bareland
374,Wetland,Water,Water,Water,Water,NULL,Water
375,Wetland,Water,Water,Water,Water,NULL,Forest
376,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest
377,Wetland,Water,Forest,Water,Non_Wetland,NULL,Water
378,Wetland,Water,Forest,Water,Non_Wetland,NULL,Forest
379,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
380,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
381,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
382,Wetland,Forest,Wetland,NULL,Wetland,NULL,Forest
383,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Forest
384,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
385,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
386,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
387,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
388,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
389,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
