Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MPQ_M_R
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
122,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
123,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
125,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
126,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
134,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
136,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
137,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
138,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
139,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
145,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
146,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
148,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
151,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
152,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
153,NULL,Cropland,Forest,Water,Non_Wetland,Forest
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
159,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
160,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
161,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
166,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
167,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
168,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
171,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
172,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
173,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
174,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
175,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
177,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
178,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
179,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
180,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
181,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
182,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
183,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
184,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
187,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
188,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
189,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
190,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
191,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
192,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
193,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
194,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
195,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
196,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
204,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
205,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
206,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
207,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
208,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
211,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
215,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
216,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
218,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
219,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
220,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
221,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
222,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
223,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
224,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
225,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
226,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
227,NULL,Built-up,Wetland,NULL,Wetland,Bareland
228,NULL,Built-up,Wetland,NULL,Wetland,Forest
229,NULL,Built-up,Wetland,Water,Wetland,Bareland
230,NULL,Built-up,Wetland,Water,Wetland,Water
231,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
232,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
235,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
236,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
237,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
238,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
239,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
240,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
241,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
242,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
243,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
244,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
245,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
246,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
247,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
248,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
249,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
250,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
251,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
252,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
253,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
254,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
255,NULL,Built-up,Built-up,Water,Non_Wetland,Water
256,NULL,Built-up,Water,NULL,Water,Grassland
257,NULL,Built-up,Water,NULL,Water,Bareland
258,NULL,Built-up,Water,NULL,Water,Forest
259,NULL,Built-up,Water,Non_Water,Water,Bareland
260,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
261,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
262,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
263,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
264,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
265,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
266,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
267,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
268,NULL,Water,NULL,NULL,Non_Wetland,Forest
269,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
270,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
271,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
272,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
273,NULL,Water,Shrubland,NULL,Non_Wetland,Water
274,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
275,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
276,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
277,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
278,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
279,NULL,Water,Shrubland,Water,Non_Wetland,Water
280,NULL,Water,Grassland,NULL,Non_Wetland,NULL
281,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
282,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
283,NULL,Water,Grassland,NULL,Non_Wetland,Forest
284,NULL,Water,Cropland,NULL,Non_Wetland,NULL
285,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
286,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
287,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
288,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
289,NULL,Water,Cropland,NULL,Non_Wetland,Water
290,NULL,Water,Cropland,NULL,Non_Wetland,Forest
291,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
292,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
293,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
294,NULL,Water,Cropland,Water,Non_Wetland,Grassland
295,NULL,Water,Cropland,Water,Non_Wetland,Cropland
296,NULL,Water,Cropland,Water,Non_Wetland,Water
297,NULL,Water,Bareland,NULL,Non_Wetland,NULL
298,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
299,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
300,NULL,Water,Bareland,NULL,Non_Wetland,Water
301,NULL,Water,Bareland,NULL,Non_Wetland,Forest
302,NULL,Water,Bareland,Water,Non_Wetland,Grassland
303,NULL,Water,Bareland,Water,Non_Wetland,Bareland
304,NULL,Water,Bareland,Water,Non_Wetland,Water
305,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
306,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
307,NULL,Water,Water,NULL,Water,Grassland
308,NULL,Water,Water,NULL,Water,Bareland
309,NULL,Water,Water,NULL,Water,Water
310,NULL,Water,Water,Water,Water,Water
311,NULL,Water,Forest,NULL,Non_Wetland,NULL
312,NULL,Water,Forest,NULL,Non_Wetland,Grassland
313,NULL,Water,Forest,NULL,Non_Wetland,Bareland
314,NULL,Water,Forest,NULL,Non_Wetland,Water
315,NULL,Water,Forest,NULL,Non_Wetland,Forest
316,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
317,NULL,Water,Forest,Water,Non_Wetland,Grassland
318,NULL,Forest,NULL,NULL,Non_Wetland,NULL
319,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
320,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
321,NULL,Forest,NULL,NULL,Non_Wetland,Forest
322,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
323,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
324,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
325,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
326,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
327,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
328,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
329,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
330,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
331,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
332,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
333,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
334,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
335,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
336,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
337,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
338,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
339,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
340,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
341,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
342,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
343,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
344,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
345,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
346,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
347,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
348,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
349,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
350,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
351,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
352,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
353,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
354,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
355,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
356,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
357,NULL,Forest,Forest,NULL,Non_Wetland,NULL
358,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
359,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
360,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
361,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
362,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
363,NULL,Forest,Forest,NULL,Non_Wetland,Forest
364,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
365,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
366,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
367,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
368,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
369,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
370,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
371,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
372,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
374,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
375,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
376,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
377,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
378,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
379,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
380,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
381,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
382,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
383,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
384,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
385,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
386,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
387,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
388,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
389,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
390,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
391,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
392,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
393,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
394,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
395,Grassland,NULL,Wetland,NULL,Wetland,Grassland
396,Grassland,NULL,Wetland,NULL,Wetland,Wetland
397,Grassland,NULL,Wetland,NULL,Wetland,Water
398,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
399,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
400,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
401,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
402,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
403,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
404,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
405,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
406,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
407,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
408,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
409,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
410,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
411,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
412,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
413,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
414,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
415,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
416,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
417,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
418,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
419,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
420,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
421,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
422,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
423,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
