Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
60,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
110,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
117,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Forest
122,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
162,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
163,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
164,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
185,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
193,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
196,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
197,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
198,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
200,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
201,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
205,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
208,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
209,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
212,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
213,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
214,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
215,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
216,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
217,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
219,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
220,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
221,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
223,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
224,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
225,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
226,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
227,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
228,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
229,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
230,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
231,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
232,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
233,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
234,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
235,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
236,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
237,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
238,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
239,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
242,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
243,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
248,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
250,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
251,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
253,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
255,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
256,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
257,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
258,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
259,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
260,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
261,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
262,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
264,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
265,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
266,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
267,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
268,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
269,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
270,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
273,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
275,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
276,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
277,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
278,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
283,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
285,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
287,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
288,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
291,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
294,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
298,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
299,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
302,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
305,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
306,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
307,NULL,NULL,Water,NULL,Water,Bareland,Water,Forest
308,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
309,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
310,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
311,NULL,NULL,Water,Water,Water,Wetland,Forest,Forest
312,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
313,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
314,NULL,NULL,Water,Water,Water,Water,Water,Water
315,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
328,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
329,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
334,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
