Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R
27,NULL,NULL,Wetland,NULL,Wetland,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,Water
29,NULL,NULL,Wetland,NULL,Wetland,Forest
30,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
31,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
32,NULL,NULL,Wetland,Non_Water,Wetland,Water
33,NULL,NULL,Wetland,Non_Water,Wetland,Forest
34,NULL,NULL,Wetland,Water,Wetland,Grassland
35,NULL,NULL,Wetland,Water,Wetland,Wetland
36,NULL,NULL,Wetland,Water,Wetland,Water
37,NULL,NULL,Wetland,Water,Wetland,Forest
38,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Water
41,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
42,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Bareland,Water,Non_Wetland,Water
47,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
48,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
49,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
51,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
52,NULL,NULL,Water,NULL,Water,Water
53,NULL,NULL,Water,Non_Water,Water,Grassland
54,NULL,NULL,Water,Non_Water,Water,Wetland
55,NULL,NULL,Water,Non_Water,Water,Bareland
56,NULL,NULL,Water,Non_Water,Water,Water
57,NULL,NULL,Water,Non_Water,Water,Forest
58,NULL,NULL,Water,Water,Water,Grassland
59,NULL,NULL,Water,Water,Water,Wetland
60,NULL,NULL,Water,Water,Water,Water
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
64,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
65,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
66,NULL,NULL,Forest,NULL,Non_Wetland,Water
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
69,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
70,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Forest,Water,Non_Wetland,Grassland
73,NULL,NULL,Forest,Water,Non_Wetland,Wetland
74,NULL,NULL,Forest,Water,Non_Wetland,Built-up
75,NULL,NULL,Forest,Water,Non_Wetland,Water
76,NULL,NULL,Forest,Water,Non_Wetland,Forest
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
87,NULL,Cropland,Wetland,NULL,Wetland,Grassland
88,NULL,Cropland,Wetland,NULL,Wetland,Forest
89,NULL,Cropland,Wetland,Water,Wetland,Water
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
92,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
94,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
95,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
96,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
97,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
98,NULL,Wetland,Wetland,NULL,Wetland,Grassland
99,NULL,Wetland,Wetland,NULL,Wetland,Forest
100,NULL,Wetland,Wetland,Water,Wetland,Grassland
101,NULL,Wetland,Wetland,Water,Wetland,Wetland
102,NULL,Wetland,Wetland,Water,Wetland,Water
103,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
104,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
105,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
106,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
108,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
109,NULL,Bareland,Cropland,Water,Non_Wetland,Water
110,NULL,Bareland,Wetland,NULL,Wetland,Grassland
111,NULL,Bareland,Wetland,NULL,Wetland,Water
112,NULL,Bareland,Wetland,NULL,Wetland,Forest
113,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
114,NULL,Bareland,Wetland,Non_Water,Wetland,Water
115,NULL,Bareland,Wetland,Water,Wetland,Water
116,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
117,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
118,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
119,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
120,NULL,Bareland,Bareland,Water,Non_Wetland,Water
121,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
122,NULL,Bareland,Water,NULL,Water,Water
123,NULL,Bareland,Water,Non_Water,Water,Wetland
124,NULL,Bareland,Water,Non_Water,Water,Water
125,NULL,Bareland,Water,Water,Water,Wetland
126,NULL,Bareland,Water,Water,Water,Water
127,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
128,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
129,NULL,Bareland,Forest,NULL,Non_Wetland,Water
130,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
131,NULL,Bareland,Forest,Non_Water,Non_Wetland,Wetland
132,NULL,Bareland,Forest,Water,Non_Wetland,Water
133,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
134,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
139,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
140,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
141,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
142,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
143,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
144,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
145,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
146,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
151,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
152,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
153,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
154,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
155,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
156,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
160,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
161,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
162,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
163,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
164,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
165,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
166,NULL,Built-up,Wetland,NULL,Wetland,Grassland
167,NULL,Built-up,Wetland,NULL,Wetland,Built-up
168,NULL,Built-up,Wetland,NULL,Wetland,Forest
169,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
170,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
171,NULL,Built-up,Wetland,Non_Water,Wetland,Water
172,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
173,NULL,Built-up,Wetland,Water,Wetland,Grassland
174,NULL,Built-up,Wetland,Water,Wetland,Water
175,NULL,Built-up,Wetland,Water,Wetland,Forest
176,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
181,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
182,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
183,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
184,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
188,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
189,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
190,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
191,NULL,Built-up,Built-up,Water,Non_Wetland,Water
192,NULL,Built-up,Water,NULL,Water,Water
193,NULL,Built-up,Water,NULL,Water,Forest
194,NULL,Built-up,Water,Non_Water,Water,Grassland
195,NULL,Built-up,Water,Non_Water,Water,Built-up
196,NULL,Built-up,Water,Non_Water,Water,Water
197,NULL,Built-up,Water,Water,Water,Grassland
198,NULL,Built-up,Water,Water,Water,Built-up
199,NULL,Built-up,Water,Water,Water,Water
200,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
202,NULL,Built-up,Forest,NULL,Non_Wetland,Water
203,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
204,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
205,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
206,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
207,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
208,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
209,NULL,Built-up,Forest,Water,Non_Wetland,Forest
210,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
211,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
212,NULL,Water,Shrubland,Water,Non_Wetland,Water
213,NULL,Water,Grassland,Water,Non_Wetland,Grassland
214,NULL,Water,Grassland,Water,Non_Wetland,Water
215,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
216,NULL,Water,Cropland,NULL,Non_Wetland,Water
217,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
218,NULL,Water,Cropland,Water,Non_Wetland,Water
219,NULL,Water,Wetland,NULL,Wetland,Grassland
220,NULL,Water,Wetland,NULL,Wetland,Wetland
221,NULL,Water,Wetland,NULL,Wetland,Water
222,NULL,Water,Wetland,NULL,Wetland,Forest
223,NULL,Water,Wetland,Non_Water,Wetland,Grassland
224,NULL,Water,Wetland,Non_Water,Wetland,Water
225,NULL,Water,Wetland,Non_Water,Wetland,Forest
226,NULL,Water,Wetland,Water,Wetland,Grassland
227,NULL,Water,Wetland,Water,Wetland,Wetland
228,NULL,Water,Wetland,Water,Wetland,Water
229,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
230,NULL,Water,Water,NULL,Water,Grassland
231,NULL,Water,Water,Non_Water,Water,Water
232,NULL,Water,Water,Water,Water,Grassland
233,NULL,Water,Water,Water,Water,Wetland
234,NULL,Water,Water,Water,Water,Water
235,NULL,Water,Water,Water,Water,Forest
236,NULL,Water,Forest,NULL,Non_Wetland,Grassland
237,NULL,Water,Forest,NULL,Non_Wetland,Forest
238,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
239,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
240,NULL,Water,Forest,Water,Non_Wetland,Grassland
241,NULL,Water,Forest,Water,Non_Wetland,Water
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
244,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
245,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
246,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
247,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
248,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
249,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
250,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
251,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
252,NULL,Forest,Wetland,NULL,Wetland,NULL
253,NULL,Forest,Wetland,NULL,Wetland,Grassland
254,NULL,Forest,Wetland,NULL,Wetland,Forest
255,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
256,NULL,Forest,Wetland,Non_Water,Wetland,Water
257,NULL,Forest,Wetland,Non_Water,Wetland,Forest
258,NULL,Forest,Wetland,Water,Wetland,Wetland
259,NULL,Forest,Wetland,Water,Wetland,Water
260,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
261,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
262,NULL,Forest,Water,Non_Water,Water,Forest
263,NULL,Forest,Water,Water,Water,Grassland
264,NULL,Forest,Water,Water,Water,Water
265,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
266,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
267,NULL,Forest,Forest,NULL,Non_Wetland,Water
268,NULL,Forest,Forest,NULL,Non_Wetland,Forest
269,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
270,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
271,NULL,Forest,Forest,Water,Non_Wetland,Grassland
272,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
273,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
274,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
275,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
276,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
277,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
278,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
279,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
280,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
281,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
282,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
284,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
285,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
286,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
287,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
289,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
291,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
292,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
293,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
294,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
295,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
296,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
297,Grassland,NULL,Cropland,Water,Non_Wetland,Water
298,Grassland,NULL,Wetland,NULL,Wetland,NULL
299,Grassland,NULL,Wetland,NULL,Wetland,Grassland
300,Grassland,NULL,Wetland,NULL,Wetland,Wetland
301,Grassland,NULL,Wetland,NULL,Wetland,Water
302,Grassland,NULL,Wetland,NULL,Wetland,Forest
303,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
304,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
305,Grassland,NULL,Wetland,Non_Water,Wetland,Water
306,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
307,Grassland,NULL,Wetland,Water,Wetland,Grassland
308,Grassland,NULL,Wetland,Water,Wetland,Wetland
309,Grassland,NULL,Wetland,Water,Wetland,Water
310,Grassland,NULL,Wetland,Water,Wetland,Forest
311,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
312,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
313,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
314,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
315,Grassland,NULL,Bareland,Water,Non_Wetland,Water
316,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
317,Grassland,NULL,Water,NULL,Water,Grassland
318,Grassland,NULL,Water,NULL,Water,Wetland
319,Grassland,NULL,Water,NULL,Water,Water
320,Grassland,NULL,Water,Non_Water,Water,Grassland
321,Grassland,NULL,Water,Non_Water,Water,Wetland
322,Grassland,NULL,Water,Non_Water,Water,Water
323,Grassland,NULL,Water,Non_Water,Water,Forest
324,Grassland,NULL,Water,Water,Water,Grassland
325,Grassland,NULL,Water,Water,Water,Wetland
326,Grassland,NULL,Water,Water,Water,Water
327,Grassland,NULL,Water,Water,Water,Forest
328,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
329,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
330,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
331,Grassland,NULL,Forest,NULL,Non_Wetland,Water
332,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
333,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
334,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
335,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
336,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
337,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
338,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
339,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
340,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
341,Grassland,NULL,Forest,Water,Non_Wetland,Water
342,Grassland,NULL,Forest,Water,Non_Wetland,Forest
343,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
344,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
345,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
346,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
347,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
348,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
349,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
350,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
351,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
352,Grassland,Cropland,Wetland,NULL,Wetland,Forest
353,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
354,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
355,Grassland,Cropland,Wetland,Water,Wetland,Grassland
356,Grassland,Cropland,Wetland,Water,Wetland,Water
357,Grassland,Cropland,Water,Water,Water,Grassland
358,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
359,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
360,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
361,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
362,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
363,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
364,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
365,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
366,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
367,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
368,Grassland,Wetland,Cropland,NULL,Non_Wetland,Water
369,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
370,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
371,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland
372,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
373,Grassland,Wetland,Cropland,Water,Non_Wetland,Forest
374,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
375,Grassland,Wetland,Wetland,NULL,Wetland,Water
376,Grassland,Wetland,Wetland,NULL,Wetland,Forest
377,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
378,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
379,Grassland,Wetland,Wetland,Water,Wetland,Grassland
380,Grassland,Wetland,Wetland,Water,Wetland,Water
381,Grassland,Wetland,Water,NULL,Water,Water
382,Grassland,Wetland,Water,Water,Water,Grassland
383,Grassland,Wetland,Water,Water,Water,Water
384,Grassland,Wetland,Water,Water,Water,Forest
385,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
386,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
387,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
388,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
389,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
390,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
391,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
392,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
393,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
394,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
395,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
396,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
397,Grassland,Built-up,Wetland,NULL,Wetland,Grassland
398,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
399,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
400,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
401,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
402,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
403,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
404,Grassland,Water,Grassland,Water,Non_Wetland,Water
405,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
406,Grassland,Water,Cropland,Water,Non_Wetland,Grassland
407,Grassland,Water,Wetland,NULL,Wetland,Grassland
408,Grassland,Water,Wetland,NULL,Wetland,Wetland
409,Grassland,Water,Wetland,NULL,Wetland,Water
410,Grassland,Water,Wetland,NULL,Wetland,Forest
411,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
412,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
413,Grassland,Water,Wetland,Non_Water,Wetland,Water
414,Grassland,Water,Wetland,Non_Water,Wetland,Forest
415,Grassland,Water,Wetland,Water,Wetland,Grassland
416,Grassland,Water,Wetland,Water,Wetland,Wetland
417,Grassland,Water,Wetland,Water,Wetland,Water
418,Grassland,Water,Bareland,Water,Non_Wetland,Grassland
419,Grassland,Water,Bareland,Water,Non_Wetland,Water
420,Grassland,Water,Water,Non_Water,Water,Wetland
421,Grassland,Water,Water,Non_Water,Water,Water
422,Grassland,Water,Water,Water,Water,Grassland
423,Grassland,Water,Water,Water,Water,Wetland
424,Grassland,Water,Water,Water,Water,Water
425,Grassland,Water,Water,Water,Water,Forest
426,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
427,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
428,Grassland,Water,Forest,NULL,Non_Wetland,Water
429,Grassland,Water,Forest,NULL,Non_Wetland,Forest
430,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
431,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
432,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
433,Grassland,Water,Forest,Water,Non_Wetland,Grassland
434,Grassland,Water,Forest,Water,Non_Wetland,Wetland
435,Grassland,Water,Forest,Water,Non_Wetland,Water
436,Grassland,Forest,NULL,NULL,Non_Wetland,Water
437,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
438,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
439,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
440,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
