Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R
815,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
816,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
817,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
818,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
819,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
820,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
821,Grassland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
822,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
823,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
824,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
825,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
826,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
827,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
828,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
829,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
830,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
831,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
832,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
833,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
834,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
835,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
836,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
837,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
838,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
839,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
840,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
841,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
842,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
843,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
844,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
845,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
846,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
847,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
848,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
849,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
850,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
851,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
852,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
853,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
854,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
855,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
856,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
857,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
858,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
859,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
860,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
861,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
862,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
863,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
864,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
865,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
866,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
867,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
868,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
869,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
870,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
871,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
872,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
873,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
874,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
875,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
876,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
877,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
878,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
879,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
880,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
881,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
882,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
883,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
884,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
885,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
886,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
887,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
888,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
889,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
890,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
891,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
892,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
893,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
894,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
895,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
896,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
897,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
898,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
899,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
900,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
901,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
902,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
903,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
904,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
905,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
906,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
907,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
908,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
909,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
910,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
911,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
912,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
913,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
914,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
915,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
916,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
917,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
918,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
919,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
920,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
921,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
922,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
923,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
924,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
925,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
926,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
927,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
928,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
929,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
930,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
931,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
932,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
933,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
934,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
935,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
936,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
937,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
938,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
939,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
940,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
941,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
942,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
943,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
944,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
945,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
946,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
947,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
948,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
949,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
950,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
951,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
952,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
953,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
954,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
955,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
956,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
957,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
958,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
959,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
960,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
961,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
962,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
963,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
964,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
965,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
966,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
967,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
968,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
969,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
970,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
971,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
972,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
973,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
974,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
975,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
976,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
977,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
978,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
979,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
980,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
981,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
982,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
983,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
984,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
985,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
986,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
987,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
988,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
989,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
990,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
991,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
992,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
993,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
994,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
995,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
996,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
997,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
998,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
999,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1000,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1001,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1002,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
1003,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1004,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1005,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1006,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1007,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1008,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1009,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1010,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1011,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1012,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1013,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1014,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1015,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1016,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1017,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1018,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1019,Cropland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1020,Cropland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
1021,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1022,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1023,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1024,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1025,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1026,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1027,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1028,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1029,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1030,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1031,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1032,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1033,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1034,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1035,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1036,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1037,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1038,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1039,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1040,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1041,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1042,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1043,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1044,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1045,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1046,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1047,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1048,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1049,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1050,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
1051,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
1052,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1053,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1054,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1055,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1056,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1057,Cropland,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1058,Cropland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Built-up
1059,Cropland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
1060,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1061,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1062,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1063,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1064,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1065,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1066,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1067,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1068,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1069,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1070,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1071,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1072,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1073,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1074,Cropland,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1075,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1076,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1077,Cropland,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1078,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1079,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
1080,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1081,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1082,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1083,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
1084,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1085,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1086,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1087,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1088,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1089,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1090,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1091,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1092,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1093,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1094,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1095,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1096,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1097,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1098,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1099,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1100,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1101,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1102,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1103,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1104,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1105,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1106,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1107,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1108,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1109,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1110,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1111,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1112,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1113,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
1114,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1115,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1116,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
1117,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1118,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1119,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
1120,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1121,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1122,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1123,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1124,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1125,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
1126,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1127,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1128,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
1129,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1130,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1131,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1132,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1133,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1134,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1135,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
1136,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1137,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1138,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1139,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1140,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1141,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1142,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1143,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1144,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
