Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQN_M_R
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
128,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
129,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
130,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
138,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
144,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
146,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
148,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
151,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
152,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
155,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
156,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
157,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
158,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
160,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
161,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
164,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
168,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
169,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
170,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
171,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
172,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
173,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
174,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
175,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
176,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
177,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
178,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up
179,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
180,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
181,NULL,Wetland,Built-up,NULL,Non_Wetland,Cropland
182,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
183,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
184,NULL,Wetland,Water,NULL,Water,Grassland
185,NULL,Wetland,Water,NULL,Water,Water
186,NULL,Wetland,Water,Water,Water,Wetland
187,NULL,Wetland,Water,Water,Water,Water
188,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
189,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
190,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
191,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
192,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
193,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
194,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
195,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
196,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
197,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
199,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
200,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
202,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
203,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
204,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
205,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
206,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
207,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
208,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
209,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
210,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
211,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
212,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
213,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
214,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
215,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
216,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
217,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
218,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
219,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
220,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
221,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
222,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
223,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
224,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
225,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
226,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
227,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
228,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
229,NULL,Bareland,Water,Water,Water,Water
230,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
231,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
232,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
233,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
234,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
235,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
243,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
244,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
245,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
246,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
247,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
248,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
249,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
250,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
256,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
257,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
258,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
259,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
260,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
261,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
262,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
263,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
264,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
265,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
266,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
267,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
268,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
269,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
270,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
271,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
272,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
273,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
274,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
275,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
276,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
277,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
278,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
279,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
280,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
281,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
282,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
283,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
284,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
285,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
286,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
287,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
288,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
289,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
290,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
291,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
292,NULL,Built-up,Water,NULL,Water,Grassland
293,NULL,Built-up,Water,NULL,Water,Cropland
294,NULL,Built-up,Water,Water,Water,Grassland
295,NULL,Built-up,Water,Water,Water,Forest
296,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
297,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
298,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
299,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
300,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
301,NULL,Built-up,Forest,NULL,Non_Wetland,Water
302,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
303,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
304,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
305,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
306,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
307,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
308,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
309,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
310,NULL,Water,Shrubland,NULL,Non_Wetland,Water
311,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
313,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
314,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
315,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
316,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
317,NULL,Water,Shrubland,Water,Non_Wetland,Water
318,NULL,Water,Shrubland,Water,Non_Wetland,Forest
319,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
320,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
321,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
322,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
323,NULL,Water,Grassland,NULL,Non_Wetland,Water
324,NULL,Water,Grassland,NULL,Non_Wetland,Forest
325,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
326,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
327,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
328,NULL,Water,Cropland,NULL,Non_Wetland,Water
329,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
330,NULL,Water,Cropland,Water,Non_Wetland,Bareland
331,NULL,Water,Wetland,Water,Wetland,Grassland
332,NULL,Water,Wetland,Water,Wetland,Forest
333,NULL,Water,Bareland,NULL,Non_Wetland,NULL
334,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
335,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
336,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
337,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
338,NULL,Water,Bareland,NULL,Non_Wetland,Water
339,NULL,Water,Bareland,NULL,Non_Wetland,Forest
340,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
341,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
342,NULL,Water,Bareland,Water,Non_Wetland,Bareland
343,NULL,Water,Bareland,Water,Non_Wetland,Water
344,NULL,Water,Bareland,Water,Non_Wetland,Forest
345,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
346,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
347,NULL,Water,Water,NULL,Water,Grassland
348,NULL,Water,Water,NULL,Water,Cropland
349,NULL,Water,Water,NULL,Water,Bareland
350,NULL,Water,Water,NULL,Water,Water
351,NULL,Water,Water,Non_Water,Water,Water
352,NULL,Water,Water,Water,Water,Grassland
353,NULL,Water,Water,Water,Water,Water
354,NULL,Water,Forest,NULL,Non_Wetland,Grassland
355,NULL,Water,Forest,NULL,Non_Wetland,Cropland
356,NULL,Water,Forest,NULL,Non_Wetland,Water
357,NULL,Water,Forest,NULL,Non_Wetland,Forest
358,NULL,Water,Forest,Water,Non_Wetland,Forest
359,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
360,NULL,Forest,NULL,NULL,Non_Wetland,Forest
361,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
362,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
363,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
364,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
365,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
366,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
367,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
368,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
369,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
370,NULL,Forest,Shrubland,Water,Non_Wetland,Water
371,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
372,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
373,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
374,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
375,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
376,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
377,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
378,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
379,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
380,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
381,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
382,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
383,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
384,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
385,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
386,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
387,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
388,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
389,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
390,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
391,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
392,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
393,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
394,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
395,NULL,Forest,Forest,NULL,Non_Wetland,NULL
396,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
397,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
398,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
399,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
400,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
401,NULL,Forest,Forest,NULL,Non_Wetland,Water
402,NULL,Forest,Forest,NULL,Non_Wetland,Forest
403,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
404,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
405,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
406,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
407,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
408,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
409,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
410,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
411,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
412,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
413,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
414,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
415,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
416,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
417,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
418,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
419,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
420,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
421,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
422,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
423,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
424,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
425,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
426,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
427,Grassland,NULL,Grassland,NULL,Non_Wetland,Water
428,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
429,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
