Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R
119,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
120,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
121,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
122,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
123,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
124,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
125,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
126,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
127,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
128,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
129,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
130,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
131,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
132,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
133,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
134,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
135,Water,Water,Water,NULL,Water,NULL,NULL,Water
136,Water,Water,Water,NULL,Water,NULL,NULL,Forest
137,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
138,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
139,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
140,Water,Water,Water,Water,Water,NULL,NULL,Grassland
141,Water,Water,Water,Water,Water,NULL,NULL,Bareland
142,Water,Water,Water,Water,Water,NULL,NULL,Water
143,Water,Water,Water,Water,Water,NULL,NULL,Forest
144,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
146,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
149,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
150,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
151,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
152,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
153,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
154,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
155,Water,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
156,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
157,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
158,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
159,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
160,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
161,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
162,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
163,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
164,Water,Forest,Water,Water,Water,NULL,NULL,Water
165,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
166,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
167,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
168,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
169,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
170,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
171,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
172,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
173,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
174,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
176,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
178,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
179,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
181,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
182,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
184,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
185,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
186,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
187,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
188,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
189,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
190,Forest,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
191,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
192,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
194,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
195,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
196,Forest,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
197,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
199,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
200,Forest,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
201,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
203,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
204,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
205,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
206,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
207,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
208,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
209,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
210,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
211,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
213,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
214,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
215,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
216,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
217,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
218,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
220,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
221,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
222,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
223,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
224,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
225,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
226,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
227,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
228,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
229,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
230,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
231,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
232,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
233,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
234,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
235,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
236,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
237,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
238,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
240,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
241,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
243,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
244,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
245,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
246,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
247,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
248,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
249,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
250,Forest,Water,Water,NULL,Water,NULL,NULL,Water
251,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
252,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
253,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
254,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
255,Forest,Water,Water,Water,Water,NULL,NULL,Water
256,Forest,Water,Water,Water,Water,NULL,NULL,Forest
257,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
258,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
259,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
261,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
262,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
263,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
264,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
265,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
266,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
267,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
268,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
269,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
270,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
271,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
272,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
273,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
274,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
276,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
277,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
278,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
280,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
281,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
282,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
283,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
284,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
285,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
287,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
288,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
289,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
290,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
291,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
292,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
294,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
295,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Water
296,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
297,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
298,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
299,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
300,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
301,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
302,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
303,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
304,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
305,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
306,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
307,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
308,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
310,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
311,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
313,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
314,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
315,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
316,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
317,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
318,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
319,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
320,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
321,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
322,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
323,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
324,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
325,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
326,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
327,Forest,Forest,Water,Water,Water,NULL,NULL,Water
328,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
329,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
330,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
331,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
332,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
333,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
334,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
335,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
336,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
337,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
