Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R
121,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
122,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
123,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
124,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
125,Wetland,Water,Water,NULL,Water,NULL,NULL,Bareland
126,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
127,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
128,Wetland,Water,Water,Water,Water,NULL,NULL,Water
129,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
130,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
131,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
132,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
133,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
134,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
135,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
136,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
137,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
138,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
139,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
140,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
141,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
142,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
143,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
144,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
145,Water,NULL,Water,Water,Water,NULL,NULL,Water
146,Water,NULL,Water,Water,Water,NULL,NULL,Forest
147,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
150,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
151,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
152,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
153,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
154,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
155,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
156,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
157,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
158,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
159,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
160,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
161,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
162,Water,Wetland,Water,Water,Water,NULL,NULL,Water
163,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
165,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
166,Water,Bareland,Water,Water,Water,NULL,NULL,Water
167,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
168,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
169,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
170,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
171,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
172,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
173,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
174,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
175,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
176,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
177,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
178,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
179,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
180,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
181,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
182,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
183,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
184,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
185,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
186,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
187,Water,Water,Water,NULL,Water,NULL,NULL,Water
188,Water,Water,Water,NULL,Water,NULL,NULL,Forest
189,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
190,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
191,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
192,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
193,Water,Water,Water,Water,Water,NULL,NULL,Grassland
194,Water,Water,Water,Water,Water,NULL,NULL,Wetland
195,Water,Water,Water,Water,Water,NULL,NULL,Bareland
196,Water,Water,Water,Water,Water,NULL,NULL,Water
197,Water,Water,Water,Water,Water,NULL,NULL,Forest
198,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
199,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
200,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
201,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
202,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
203,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
204,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
205,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
206,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
207,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
209,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
210,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
211,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
212,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
213,Water,Forest,Water,NULL,Water,NULL,NULL,Water
214,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
215,Water,Forest,Water,Water,Water,NULL,NULL,Water
216,Water,Forest,Water,Water,Water,NULL,NULL,Forest
217,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
218,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
219,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
221,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
222,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
223,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
224,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
225,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
226,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
227,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
228,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Forest
229,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
230,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
231,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
232,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
233,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
234,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
235,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
236,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
238,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
239,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
241,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
242,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
243,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
244,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
245,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
246,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
247,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
248,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
249,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
250,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
251,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
252,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
253,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
254,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
255,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
256,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
257,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
258,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
259,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
260,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
261,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
262,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
263,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
264,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
265,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
266,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
267,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
268,Forest,NULL,Water,Water,Water,NULL,NULL,Bareland
269,Forest,NULL,Water,Water,Water,NULL,NULL,Water
270,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
271,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
272,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
273,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
274,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
275,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
276,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
277,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
279,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
281,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
282,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
283,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
284,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
285,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
286,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
287,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
288,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
289,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
290,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
291,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
292,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
293,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
294,Forest,Wetland,Water,Water,Water,NULL,NULL,Bareland
295,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
296,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
297,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
298,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
299,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
300,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
301,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
302,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
303,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
304,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
305,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
306,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
307,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
308,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
309,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
310,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
311,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
312,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
313,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
314,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
315,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
316,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
317,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
318,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
319,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
320,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
321,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
322,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
323,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
324,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
325,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
326,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
327,Forest,Water,Water,NULL,Water,NULL,NULL,Water
328,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
329,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
330,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
331,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
332,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
333,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
334,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
335,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
336,Forest,Water,Water,Water,Water,NULL,NULL,Water
337,Forest,Water,Water,Water,Water,NULL,NULL,Forest
338,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
339,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
340,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
341,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
342,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
343,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
344,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
345,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
346,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
347,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
348,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
349,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
350,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
351,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
352,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
353,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
354,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
355,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
356,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
357,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
358,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
359,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
360,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
361,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
362,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
363,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
364,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
365,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
