Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
187,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
