Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
41,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
42,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
43,NULL,NULL,Water,Water,Water,NULL,NULL,Water
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
50,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
56,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
63,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
72,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
73,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
74,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
80,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
84,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
85,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
89,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
95,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
96,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
97,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
107,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
110,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
111,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
112,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
113,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
114,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
115,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
116,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
117,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
126,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
127,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
128,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
132,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
133,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
135,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
137,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
138,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
139,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
140,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
141,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
143,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
144,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
145,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
146,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
147,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
148,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
149,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
150,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
151,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
152,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
153,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
154,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
155,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
156,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
157,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
158,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
159,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
160,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
161,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
162,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
163,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
167,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
169,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
170,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
173,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
175,Grassland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
176,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
177,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
178,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
180,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
181,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
182,Grassland,Water,Water,Water,Water,NULL,NULL,Water
183,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
185,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
188,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
189,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
190,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
191,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
192,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
193,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
194,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
195,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
196,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
198,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
199,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
202,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
203,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
204,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
205,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
207,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
209,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
211,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
212,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
213,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
214,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
215,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
217,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
218,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
221,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
223,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
224,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
225,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
226,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
227,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
228,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
230,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
231,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
232,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
233,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
234,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
235,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
236,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
237,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
238,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
239,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
240,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
241,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
242,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
243,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
244,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
245,Bareland,Water,Water,NULL,Water,NULL,NULL,Grassland
246,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
247,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
248,Bareland,Water,Water,Water,Water,NULL,NULL,Water
249,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
250,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
251,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
252,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
253,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
254,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Water
255,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
256,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
258,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
259,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
262,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
263,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
264,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
265,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
266,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
267,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
268,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
269,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
270,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
271,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
272,Water,NULL,Water,NULL,Water,NULL,NULL,Water
273,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
274,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
275,Water,NULL,Water,Water,Water,NULL,NULL,Water
276,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
278,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
279,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
280,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
281,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
282,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
283,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
284,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
285,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
286,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
287,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
288,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
289,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
290,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
291,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
292,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
293,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
294,Water,Wetland,Water,Water,Water,NULL,NULL,Water
295,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
296,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
298,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
299,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
300,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
301,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
302,Water,Bareland,Water,Water,Water,NULL,NULL,Water
303,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
304,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
306,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
307,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
309,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
310,Water,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
311,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
312,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
313,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
314,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
315,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
316,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
317,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
318,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
319,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
320,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
323,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
324,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
325,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
326,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
327,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
328,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
330,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
331,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
333,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
334,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
335,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
336,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
337,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
338,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
339,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
340,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
341,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
342,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
343,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
344,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
345,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
346,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
347,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
348,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
349,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
350,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
351,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
352,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
