Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R
46,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
47,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
54,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
55,NULL,NULL,Water,Water,Water,Grassland,Water,Water
56,NULL,NULL,Water,Water,Water,Water,Water,Water
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
81,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
88,NULL,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
89,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Forest
90,NULL,Bareland,Wetland,Non_Water,Wetland,Water,Water,Forest
91,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Forest
92,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
93,NULL,Bareland,Water,NULL,Water,Water,Bareland,Forest
94,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
98,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
100,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Forest
101,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
104,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
105,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,Forest
106,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Forest
107,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Forest,Forest
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
110,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
111,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
113,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
115,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
116,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Built-up
118,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
119,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
120,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
121,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
122,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
123,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
124,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Built-up
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Built-up,Built-up
137,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Built-up,Forest
138,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Forest
139,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Wetland,Built-up
141,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
142,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Wetland,Bareland
143,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Wetland,Water
144,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
145,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
146,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
147,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
148,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
149,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Built-up
150,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Forest
151,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
152,NULL,Built-up,Wetland,NULL,Wetland,Water,Grassland,Forest
153,NULL,Built-up,Wetland,NULL,Wetland,Water,Built-up,Built-up
154,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Grassland
155,NULL,Built-up,Wetland,NULL,Wetland,Forest,Grassland,Forest
156,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
157,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Forest
158,NULL,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Grassland
159,NULL,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Forest
160,NULL,Built-up,Wetland,Water,Wetland,Water,Grassland,Grassland
161,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Forest
162,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Wetland,Forest
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Built-up
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Built-up
183,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
184,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
185,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Built-up
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Forest
189,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,Built-up,Water,NULL,Water,Grassland,Wetland,Built-up
191,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Forest
192,NULL,Built-up,Water,NULL,Water,Water,Wetland,Grassland
193,NULL,Built-up,Water,Water,Water,Water,Wetland,Grassland
194,NULL,Built-up,Water,Water,Water,Water,Wetland,Forest
195,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
197,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
198,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
199,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
200,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
201,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
202,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
203,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
204,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
205,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Built-up
206,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
207,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
208,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
209,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
211,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
212,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
213,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
214,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
215,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
216,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Forest
217,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
218,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
219,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
220,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
221,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Forest
222,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Built-up
223,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
224,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Water
225,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Forest,Built-up
226,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Forest,Forest
227,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
228,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
229,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
230,NULL,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
231,NULL,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
232,NULL,Water,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
233,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
234,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
235,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
236,NULL,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
237,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
238,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
239,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
240,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
241,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
242,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
243,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
244,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
245,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
246,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
247,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
248,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Forest
249,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
250,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
251,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
252,NULL,Water,Bareland,Water,Non_Wetland,Grassland,Water,Water
253,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
254,NULL,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
255,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
256,NULL,Water,Water,NULL,Water,Water,Grassland,Grassland
257,NULL,Water,Water,NULL,Water,Water,Wetland,Water
258,NULL,Water,Water,NULL,Water,Water,Bareland,Forest
259,NULL,Water,Water,NULL,Water,Water,Water,Grassland
260,NULL,Water,Water,NULL,Water,Water,Water,Forest
261,NULL,Water,Water,Non_Water,Water,Bareland,Water,Water
262,NULL,Water,Water,Non_Water,Water,Water,Water,Forest
263,NULL,Water,Water,Water,Water,Grassland,Water,Water
264,NULL,Water,Water,Water,Water,Wetland,Grassland,Grassland
265,NULL,Water,Water,Water,Water,Bareland,Wetland,Grassland
266,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
267,NULL,Water,Water,Water,Water,Water,Water,Grassland
268,NULL,Water,Water,Water,Water,Water,Water,Water
269,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
270,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
271,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
272,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
274,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
275,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
276,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
277,NULL,Forest,Cropland,Water,Non_Wetland,Grassland,Water,Forest
278,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
279,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
280,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
281,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
282,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
283,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
284,NULL,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
285,NULL,Forest,Wetland,Water,Wetland,Wetland,Grassland,Grassland
286,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
287,NULL,Forest,Wetland,Water,Wetland,Water,Water,Grassland
288,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
289,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
290,NULL,Forest,Water,NULL,Water,Water,Water,Grassland
291,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
294,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
295,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
296,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Built-up
297,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
298,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
299,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
300,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
301,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
302,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
303,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
304,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
305,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
306,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
307,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
308,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
309,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
310,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
311,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
312,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
313,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
314,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
315,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
317,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
319,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
320,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
321,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
322,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
323,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
324,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
325,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
326,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
327,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
328,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
329,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
330,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
331,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
332,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
333,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
334,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
335,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
336,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
337,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
338,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
339,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
340,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
341,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
