Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZD_M_R
27,Water,Bareland,Water,Water,Water,NULL,NULL,Water
28,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
29,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
30,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
31,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
33,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
34,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
35,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
36,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
37,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
38,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
39,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
40,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
41,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
42,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
43,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
44,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
45,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
47,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
48,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
49,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
50,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
51,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
52,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
53,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
54,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
55,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
56,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
57,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
58,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
59,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
60,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
61,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
62,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
63,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
64,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
65,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
66,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
67,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
68,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
69,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
70,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
71,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
72,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
73,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
74,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
75,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
76,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
77,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
78,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
79,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
80,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
81,Water,Water,Water,NULL,Water,NULL,NULL,Water
82,Water,Water,Water,NULL,Water,NULL,NULL,Forest
83,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
84,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
85,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
86,Water,Water,Water,Water,Water,NULL,NULL,Grassland
87,Water,Water,Water,Water,Water,NULL,NULL,Water
88,Water,Water,Water,Water,Water,NULL,NULL,Forest
89,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
90,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
91,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
92,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
94,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
95,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
96,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
97,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
98,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
99,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
100,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
101,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
102,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
103,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
104,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
105,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
106,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
107,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
108,Water,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
109,Water,Forest,Water,NULL,Water,NULL,NULL,Grassland
110,Water,Forest,Water,NULL,Water,NULL,NULL,Water
111,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
112,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
113,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
114,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
115,Water,Forest,Water,Water,Water,NULL,NULL,Water
116,Water,Forest,Water,Water,Water,NULL,NULL,Forest
117,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
118,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
119,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
121,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
122,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
123,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
124,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
125,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
126,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
130,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
131,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
132,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
133,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
134,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
135,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
136,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
137,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
139,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
140,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
141,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
142,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
143,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
144,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
145,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
146,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
147,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
148,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
149,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
150,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
151,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
152,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
153,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
154,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
155,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
156,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
157,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
158,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
159,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
160,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
161,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
162,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
163,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
164,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
165,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
166,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
167,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
168,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
169,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
170,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
171,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
172,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
173,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
174,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
175,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
176,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
177,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
178,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
179,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
180,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
181,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
182,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
183,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
184,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
185,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
186,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
187,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
188,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
189,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
190,Forest,Water,Water,NULL,Water,NULL,NULL,Water
191,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
192,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
193,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
194,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
195,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
196,Forest,Water,Water,Water,Water,NULL,NULL,Water
197,Forest,Water,Water,Water,Water,NULL,NULL,Forest
198,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
199,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
200,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
201,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
202,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
203,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
204,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
205,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
206,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
207,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
208,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
209,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
210,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
212,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
213,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
214,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
215,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
218,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
219,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
221,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
222,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
223,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
224,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
226,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
227,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
228,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
230,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
231,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
232,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
233,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
234,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Water
235,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
236,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
237,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
238,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
239,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
240,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
241,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
242,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
243,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
244,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
245,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
246,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
247,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
248,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
249,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
250,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
252,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
253,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
255,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
256,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
257,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
258,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Water
259,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
260,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
261,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
262,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
263,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
264,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
265,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
266,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
267,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
268,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
269,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
270,Forest,Forest,Water,Water,Water,NULL,NULL,Water
271,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
272,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
273,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
274,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
275,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
276,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
278,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
279,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
280,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
281,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
