Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
234,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
237,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
