Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Water
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Forest
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Forest
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Bareland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
217,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
218,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
221,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
222,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Forest
224,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
227,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
229,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
230,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
231,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
234,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
240,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Wetland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Bareland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
249,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
252,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Wetland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
258,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
262,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
266,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
267,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
269,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
271,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
272,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
273,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Cropland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
315,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
