Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R
293,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
294,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
295,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
296,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
297,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
298,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
299,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
300,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
302,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
303,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
304,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
305,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
306,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
307,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
308,Grassland,Cropland,Wetland,NULL,Wetland,Forest
309,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
310,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
311,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
312,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
313,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
315,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
316,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
317,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
318,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
319,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
320,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
321,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
322,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
323,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
324,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
325,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
326,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
327,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
328,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
329,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
330,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
331,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
332,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
333,Grassland,Wetland,Wetland,NULL,Wetland,NULL
334,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
335,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
336,Grassland,Wetland,Wetland,NULL,Wetland,Water
337,Grassland,Wetland,Wetland,NULL,Wetland,Forest
338,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
339,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
340,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
341,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
342,Grassland,Wetland,Wetland,Water,Wetland,Grassland
343,Grassland,Wetland,Wetland,Water,Wetland,Wetland
344,Grassland,Wetland,Wetland,Water,Wetland,Water
345,Grassland,Wetland,Wetland,Water,Wetland,Forest
346,Grassland,Wetland,Water,NULL,Water,Grassland
347,Grassland,Wetland,Water,NULL,Water,Wetland
348,Grassland,Wetland,Water,NULL,Water,Forest
349,Grassland,Wetland,Water,Non_Water,Water,Grassland
350,Grassland,Wetland,Water,Non_Water,Water,Wetland
351,Grassland,Wetland,Water,Non_Water,Water,Water
352,Grassland,Wetland,Water,Water,Water,Grassland
353,Grassland,Wetland,Water,Water,Water,Wetland
354,Grassland,Wetland,Water,Water,Water,Water
355,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
356,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
357,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
358,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
359,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
360,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
361,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
362,Grassland,Bareland,Water,Water,Water,Water
363,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
364,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
365,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
366,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland
367,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
368,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
369,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland
370,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
371,Grassland,Built-up,Wetland,NULL,Wetland,Grassland
372,Grassland,Built-up,Wetland,NULL,Wetland,Wetland
373,Grassland,Built-up,Wetland,NULL,Wetland,Built-up
374,Grassland,Built-up,Wetland,NULL,Wetland,Forest
375,Grassland,Built-up,Wetland,Non_Water,Wetland,Grassland
376,Grassland,Built-up,Wetland,Non_Water,Wetland,Forest
377,Grassland,Built-up,Bareland,NULL,Non_Wetland,Grassland
378,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
379,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
380,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest
381,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
382,Grassland,Built-up,Water,Non_Water,Water,Grassland
383,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
384,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland
385,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
386,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Grassland
387,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Forest
388,Grassland,Water,Wetland,NULL,Wetland,Grassland
389,Grassland,Water,Wetland,NULL,Wetland,Wetland
390,Grassland,Water,Wetland,NULL,Wetland,Water
391,Grassland,Water,Wetland,NULL,Wetland,Forest
392,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
393,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
394,Grassland,Water,Wetland,Non_Water,Wetland,Water
395,Grassland,Water,Wetland,Non_Water,Wetland,Forest
396,Grassland,Water,Wetland,Water,Wetland,Grassland
397,Grassland,Water,Wetland,Water,Wetland,Wetland
398,Grassland,Water,Wetland,Water,Wetland,Water
399,Grassland,Water,Wetland,Water,Wetland,Forest
400,Grassland,Water,Built-up,NULL,Non_Wetland,Forest
401,Grassland,Water,Water,NULL,Water,Grassland
402,Grassland,Water,Water,NULL,Water,Wetland
403,Grassland,Water,Water,NULL,Water,Water
404,Grassland,Water,Water,NULL,Water,Forest
405,Grassland,Water,Water,Non_Water,Water,Wetland
406,Grassland,Water,Water,Non_Water,Water,Water
407,Grassland,Water,Water,Water,Water,Wetland
408,Grassland,Water,Water,Water,Water,Water
409,Grassland,Water,Water,Water,Water,Forest
410,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
411,Grassland,Water,Forest,NULL,Non_Wetland,Water
412,Grassland,Water,Forest,NULL,Non_Wetland,Forest
413,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
414,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
415,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
416,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
417,Grassland,Water,Forest,Water,Non_Wetland,Wetland
418,Grassland,Water,Forest,Water,Non_Wetland,Forest
419,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
420,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
421,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
422,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
423,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
424,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
425,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
426,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
427,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
428,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
429,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
430,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
431,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland
432,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland
433,Grassland,Forest,Grassland,Water,Non_Wetland,Wetland
434,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
435,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
436,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
