Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R
51,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
58,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
60,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
61,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
62,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
68,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
69,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
70,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
71,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
72,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
73,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
74,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
75,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
76,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
77,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
78,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
79,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
80,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
84,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
89,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
92,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
93,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
96,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
97,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
105,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
106,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
107,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
108,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
109,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
111,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
116,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
120,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
121,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
124,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
125,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
127,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
128,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
129,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
130,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
131,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
132,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
133,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
134,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
135,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
139,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
142,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
144,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
149,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
150,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
151,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
152,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
153,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
154,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
155,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
160,NULL,Water,Water,NULL,Water,NULL,NULL,Water
161,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
162,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
163,NULL,Water,Water,Water,Water,NULL,NULL,Water
164,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
165,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
167,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
181,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
182,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
183,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
184,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
185,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
186,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
187,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
191,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
192,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
193,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
197,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
199,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
200,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
202,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
205,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
207,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
208,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
209,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
210,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
212,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
214,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
215,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
217,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
219,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
220,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
221,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
222,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
223,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
224,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
226,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
227,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
228,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
230,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
232,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
234,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
235,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
236,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
237,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
238,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
239,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
240,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
241,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
242,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
243,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
244,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
245,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
247,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
249,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
251,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
254,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
255,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
256,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
257,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
259,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
260,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
262,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
267,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
268,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
269,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
270,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
271,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
272,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
273,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
274,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
275,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
276,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
277,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
279,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
281,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
286,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
287,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
290,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
291,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
292,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
293,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
294,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
296,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
297,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
298,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
299,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
300,Grassland,Water,Water,Water,Water,NULL,NULL,Water
301,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
304,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
305,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
307,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
309,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
311,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
312,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
314,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
316,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
319,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
321,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
323,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
324,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
325,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
326,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
327,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
328,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
329,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
331,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
332,Grassland,Forest,Water,NULL,Water,NULL,NULL,Bareland
333,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
334,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
335,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
336,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
337,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
338,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
339,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
340,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
341,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
343,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
344,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
345,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
