Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NTH_M_R
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
126,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
127,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
131,NULL,Cropland,Wetland,NULL,Wetland,Grassland
132,NULL,Cropland,Wetland,NULL,Wetland,Forest
133,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
139,NULL,Cropland,Water,Water,Water,Bareland
140,NULL,Cropland,Water,Water,Water,Water
141,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Forest,NULL,Non_Wetland,Water
146,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
147,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
148,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
149,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
150,NULL,Cropland,Forest,Water,Non_Wetland,Water
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
154,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
155,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
156,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
157,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
158,NULL,Bareland,NULL,NULL,Non_Wetland,Water
159,NULL,Bareland,NULL,Non_Water,Non_Wetland,Forest
160,NULL,Bareland,NULL,Water,Non_Wetland,Grassland
161,NULL,Bareland,NULL,Water,Non_Wetland,Water
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
165,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
166,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
167,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
168,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
169,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
170,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
171,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
172,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
173,NULL,Bareland,Grassland,Water,Non_Wetland,Water
174,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
175,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
176,NULL,Bareland,Cropland,Water,Non_Wetland,Water
177,NULL,Bareland,Wetland,Non_Water,Wetland,Water
178,NULL,Bareland,Wetland,Water,Wetland,Bareland
179,NULL,Bareland,Wetland,Water,Wetland,Water
180,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
181,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
182,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
183,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
184,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
185,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
186,NULL,Bareland,Water,NULL,Water,Water
187,NULL,Bareland,Water,Non_Water,Water,Bareland
188,NULL,Bareland,Water,Water,Water,Bareland
189,NULL,Bareland,Water,Water,Water,Water
190,NULL,Bareland,Water,Water,Water,Forest
191,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
192,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
193,NULL,Bareland,Forest,NULL,Non_Wetland,Water
194,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
195,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
196,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
197,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
198,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
199,NULL,Bareland,Forest,Water,Non_Wetland,Water
200,NULL,Bareland,Forest,Water,Non_Wetland,Forest
201,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
202,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
203,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
204,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
205,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland
206,NULL,Built-up,NULL,Water,Non_Wetland,Forest
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
215,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
216,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
220,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
221,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
222,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
223,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
224,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
225,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
226,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
227,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
228,NULL,Built-up,Wetland,NULL,Wetland,Built-up
229,NULL,Built-up,Wetland,NULL,Wetland,Water
230,NULL,Built-up,Wetland,NULL,Wetland,Forest
231,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
232,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
233,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
234,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
235,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
241,NULL,Built-up,Water,NULL,Water,Bareland
242,NULL,Built-up,Water,NULL,Water,Built-up
243,NULL,Built-up,Water,NULL,Water,Water
244,NULL,Built-up,Water,NULL,Water,Forest
245,NULL,Built-up,Water,Non_Water,Water,Bareland
246,NULL,Built-up,Water,Water,Water,Grassland
247,NULL,Built-up,Water,Water,Water,Forest
248,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
249,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
250,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
251,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
252,NULL,Built-up,Forest,NULL,Non_Wetland,Water
253,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
254,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
255,NULL,Water,NULL,NULL,Non_Wetland,Grassland
256,NULL,Water,NULL,NULL,Non_Wetland,Bareland
257,NULL,Water,NULL,NULL,Non_Wetland,Built-up
258,NULL,Water,NULL,NULL,Non_Wetland,Forest
259,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
260,NULL,Water,Shrubland,NULL,Non_Wetland,Water
261,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
262,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
263,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
264,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
265,NULL,Water,Shrubland,Water,Non_Wetland,Water
266,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
267,NULL,Water,Grassland,NULL,Non_Wetland,Water
268,NULL,Water,Grassland,NULL,Non_Wetland,Forest
269,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
270,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
271,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
272,NULL,Water,Cropland,Water,Non_Wetland,Water
273,NULL,Water,Wetland,NULL,Wetland,Grassland
274,NULL,Water,Wetland,NULL,Wetland,Water
275,NULL,Water,Wetland,NULL,Wetland,Forest
276,NULL,Water,Wetland,Non_Water,Wetland,Forest
277,NULL,Water,Wetland,Water,Wetland,Water
278,NULL,Water,Wetland,Water,Wetland,Forest
279,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
280,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
281,NULL,Water,Bareland,Water,Non_Wetland,Grassland
282,NULL,Water,Bareland,Water,Non_Wetland,Forest
283,NULL,Water,Built-up,NULL,Non_Wetland,Water
284,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
285,NULL,Water,Water,NULL,Water,Grassland
286,NULL,Water,Water,NULL,Water,Bareland
287,NULL,Water,Water,NULL,Water,Built-up
288,NULL,Water,Water,NULL,Water,Water
289,NULL,Water,Water,NULL,Water,Forest
290,NULL,Water,Water,Non_Water,Water,Forest
291,NULL,Water,Water,Water,Water,Bareland
292,NULL,Water,Water,Water,Water,Water
293,NULL,Water,Water,Water,Water,Forest
294,NULL,Water,Forest,NULL,Non_Wetland,Grassland
295,NULL,Water,Forest,NULL,Non_Wetland,Bareland
296,NULL,Water,Forest,NULL,Non_Wetland,Water
297,NULL,Water,Forest,NULL,Non_Wetland,Forest
298,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
299,NULL,Water,Forest,Water,Non_Wetland,Bareland
300,NULL,Water,Forest,Water,Non_Wetland,Water
301,NULL,Water,Forest,Water,Non_Wetland,Forest
302,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
303,NULL,Forest,NULL,NULL,Non_Wetland,Forest
304,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
305,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
306,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
308,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
310,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
311,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
312,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
313,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
314,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
315,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
316,NULL,Forest,Grassland,NULL,Non_Wetland,Water
317,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
318,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
319,NULL,Forest,Grassland,Water,Non_Wetland,Water
320,NULL,Forest,Grassland,Water,Non_Wetland,Forest
321,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
322,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
323,NULL,Forest,Wetland,NULL,Wetland,Grassland
324,NULL,Forest,Wetland,NULL,Wetland,Forest
325,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
326,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
327,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
328,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
329,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
330,NULL,Forest,Water,NULL,Water,Grassland
331,NULL,Forest,Water,NULL,Water,Forest
332,NULL,Forest,Water,Non_Water,Water,Grassland
333,NULL,Forest,Forest,NULL,Non_Wetland,NULL
334,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
335,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
336,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
337,NULL,Forest,Forest,NULL,Non_Wetland,Forest
338,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
339,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
340,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
341,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
342,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland
343,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
344,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
345,Grassland,NULL,NULL,Water,Non_Wetland,Bareland
346,Grassland,NULL,NULL,Water,Non_Wetland,Water
347,Grassland,NULL,NULL,Water,Non_Wetland,Forest
348,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
349,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
350,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
351,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
352,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
353,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
354,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
355,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
356,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
357,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
358,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
359,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
360,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
361,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
362,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
363,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
364,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
365,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
366,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
367,Grassland,NULL,Grassland,NULL,Non_Wetland,Water
368,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
369,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
370,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
371,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water
372,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
373,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
374,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland
375,Grassland,NULL,Grassland,Water,Non_Wetland,Water
376,Grassland,NULL,Grassland,Water,Non_Wetland,Forest
377,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
378,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
379,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
380,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
381,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
382,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
383,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
384,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
385,Grassland,NULL,Cropland,Water,Non_Wetland,Water
386,Grassland,NULL,Wetland,NULL,Wetland,Grassland
387,Grassland,NULL,Wetland,NULL,Wetland,Water
388,Grassland,NULL,Wetland,NULL,Wetland,Forest
389,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
390,Grassland,NULL,Wetland,Non_Water,Wetland,Water
391,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
392,Grassland,NULL,Wetland,Water,Wetland,Grassland
393,Grassland,NULL,Wetland,Water,Wetland,Water
394,Grassland,NULL,Wetland,Water,Wetland,Forest
395,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
396,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
397,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
398,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
399,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
400,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
401,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
402,Grassland,NULL,Water,NULL,Water,Grassland
403,Grassland,NULL,Water,NULL,Water,Bareland
404,Grassland,NULL,Water,NULL,Water,Water
405,Grassland,NULL,Water,NULL,Water,Forest
406,Grassland,NULL,Water,Non_Water,Water,Grassland
407,Grassland,NULL,Water,Non_Water,Water,Bareland
408,Grassland,NULL,Water,Non_Water,Water,Water
409,Grassland,NULL,Water,Non_Water,Water,Forest
410,Grassland,NULL,Water,Water,Water,Grassland
411,Grassland,NULL,Water,Water,Water,Bareland
412,Grassland,NULL,Water,Water,Water,Water
413,Grassland,NULL,Water,Water,Water,Forest
414,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
415,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
416,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
417,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
418,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
419,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
420,Grassland,NULL,Forest,NULL,Non_Wetland,Water
421,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
422,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
423,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland
424,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
425,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
426,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
427,Grassland,NULL,Forest,Water,Non_Wetland,Water
428,Grassland,NULL,Forest,Water,Non_Wetland,Forest
429,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
430,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
431,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
432,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
433,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
434,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
435,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
436,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
437,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
