Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXH_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Forest
122,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
123,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
125,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
126,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
129,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
130,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Cropland
135,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
138,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
139,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
