Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVG_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Bareland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
270,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
271,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
272,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
276,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
278,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
279,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Built-up
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
315,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
