Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDQ_M_R
85,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
86,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
87,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
88,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
89,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
90,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
91,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
92,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
93,Bareland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
94,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
95,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
96,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Water
97,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
98,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
99,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Wetland,Water
100,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
101,Bareland,Water,Built-up,Water,Non_Wetland,Water,Water,Water
102,Bareland,Water,Water,NULL,Water,Bareland,Wetland,Water
103,Bareland,Water,Water,NULL,Water,Bareland,Water,Water
104,Bareland,Water,Water,NULL,Water,Bareland,Water,Forest
105,Bareland,Water,Water,NULL,Water,Water,Water,Water
106,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Grassland
107,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
108,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Forest
109,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
110,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
111,Bareland,Water,Water,Water,Water,Bareland,Wetland,Forest
112,Bareland,Water,Water,Water,Water,Bareland,Water,Water
113,Bareland,Water,Water,Water,Water,Water,Wetland,Water
114,Bareland,Water,Water,Water,Water,Water,Wetland,Forest
115,Bareland,Water,Water,Water,Water,Water,Water,Water
116,Bareland,Water,Water,Water,Water,Water,Water,Forest
117,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
118,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
119,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
120,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Water
121,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
122,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
123,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
124,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
125,Bareland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
126,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
127,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
128,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Water
129,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
130,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
131,Bareland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
132,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
133,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
134,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Bareland
135,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
136,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Water
137,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
138,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
139,Bareland,Forest,Water,Non_Water,Water,Bareland,Water,Water
140,Bareland,Forest,Water,Non_Water,Water,Bareland,Water,Forest
141,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
142,Bareland,Forest,Water,Water,Water,Water,Wetland,Water
143,Bareland,Forest,Water,Water,Water,Water,Water,Water
144,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
145,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
146,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
147,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
148,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
149,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
150,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
151,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
152,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
153,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
154,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
155,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
156,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
157,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
158,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
159,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
160,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
161,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
162,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
163,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
164,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
165,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
166,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
167,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
168,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
169,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
170,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
171,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
172,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
173,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
174,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
175,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
176,Water,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
177,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
178,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
179,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
180,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
181,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
182,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
183,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Water
184,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
185,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
186,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
187,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
188,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
189,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
190,Water,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
191,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
192,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
193,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
194,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
195,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
196,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
197,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
198,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
199,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
200,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
201,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
202,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
203,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
204,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
205,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
206,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
207,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
208,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
209,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
210,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
211,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
212,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
213,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
214,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
215,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
216,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
217,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
218,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
219,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
220,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
221,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
222,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
223,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
224,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
225,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
226,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
227,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
228,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
229,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
230,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
231,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
232,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
233,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
234,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
235,Water,Water,Wetland,Water,Wetland,NULL,Forest,Water
236,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
237,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
238,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
239,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
240,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
241,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
242,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
243,Water,Water,Wetland,Water,Wetland,Water,Water,Water
244,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
245,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
246,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
247,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
248,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Water
249,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
250,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
251,Water,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Water
252,Water,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
253,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
254,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
255,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
256,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
257,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
258,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
259,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
260,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
261,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
262,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
263,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
264,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
265,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
266,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
267,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
268,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
269,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
270,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
271,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
272,Water,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
273,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
274,Water,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
275,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
276,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
277,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
278,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
279,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
280,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
281,Water,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Forest
282,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Water
283,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
284,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
285,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
286,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
287,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
288,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
289,Water,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
290,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
291,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Forest
292,Water,Water,Water,NULL,Water,NULL,Wetland,Water
293,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
294,Water,Water,Water,NULL,Water,NULL,Water,Water
295,Water,Water,Water,NULL,Water,NULL,Water,Forest
296,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
297,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
298,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
299,Water,Water,Water,NULL,Water,Bareland,Wetland,Forest
300,Water,Water,Water,NULL,Water,Bareland,Water,Water
301,Water,Water,Water,NULL,Water,Bareland,Water,Forest
302,Water,Water,Water,NULL,Water,Water,Wetland,Grassland
303,Water,Water,Water,NULL,Water,Water,Wetland,Bareland
304,Water,Water,Water,NULL,Water,Water,Wetland,Water
305,Water,Water,Water,NULL,Water,Water,Wetland,Forest
306,Water,Water,Water,NULL,Water,Water,Water,Water
307,Water,Water,Water,NULL,Water,Water,Water,Forest
308,Water,Water,Water,NULL,Water,Water,Forest,Water
309,Water,Water,Water,NULL,Water,Water,Forest,Forest
310,Water,Water,Water,NULL,Water,Forest,Water,Forest
311,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
312,Water,Water,Water,Non_Water,Water,NULL,Water,Water
313,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
314,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
315,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Forest
316,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
317,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
318,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
319,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
320,Water,Water,Water,Non_Water,Water,Water,Water,Water
321,Water,Water,Water,Non_Water,Water,Water,Water,Forest
322,Water,Water,Water,Non_Water,Water,Water,Forest,Water
323,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
324,Water,Water,Water,Water,Water,NULL,Wetland,Water
325,Water,Water,Water,Water,Water,NULL,Wetland,Forest
326,Water,Water,Water,Water,Water,NULL,Water,Water
327,Water,Water,Water,Water,Water,NULL,Water,Forest
328,Water,Water,Water,Water,Water,NULL,Forest,Water
329,Water,Water,Water,Water,Water,Grassland,Water,Water
330,Water,Water,Water,Water,Water,Wetland,Water,Forest
331,Water,Water,Water,Water,Water,Bareland,Wetland,Water
332,Water,Water,Water,Water,Water,Bareland,Water,Water
333,Water,Water,Water,Water,Water,Water,Wetland,Water
334,Water,Water,Water,Water,Water,Water,Wetland,Forest
335,Water,Water,Water,Water,Water,Water,Water,Grassland
336,Water,Water,Water,Water,Water,Water,Water,Water
337,Water,Water,Water,Water,Water,Water,Water,Forest
338,Water,Water,Water,Water,Water,Water,Forest,Water
339,Water,Water,Water,Water,Water,Water,Forest,Forest
340,Water,Water,Water,Water,Water,Forest,Wetland,Water
341,Water,Water,Water,Water,Water,Forest,Water,Water
342,Water,Water,Water,Water,Water,Forest,Water,Forest
343,Water,Water,Water,Water,Water,Forest,Forest,Water
344,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
345,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
346,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
347,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
348,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
349,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
350,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
351,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
352,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
353,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
354,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
355,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
356,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
357,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
358,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
359,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Water
360,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
361,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
362,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
363,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
364,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
365,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
366,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
367,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
368,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
369,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
370,Water,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
371,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
372,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
373,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
374,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
375,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
376,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
377,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Water
378,Water,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
379,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
380,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
381,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
382,Water,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
383,Water,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Water
384,Water,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
385,Water,Forest,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
