Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R
1205,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1206,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Water
1207,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
1208,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Built-up
1209,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1210,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
1211,NULL,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1212,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1213,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1214,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1215,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1216,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1217,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
1218,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1219,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
1220,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1221,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1222,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1223,NULL,Forest,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
1224,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1225,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1226,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1227,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1228,NULL,Forest,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
1229,NULL,Forest,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
1230,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1231,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1232,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1233,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1234,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1235,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1236,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1237,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1238,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1239,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1240,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1241,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1242,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1243,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1244,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1245,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1246,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1247,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1248,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1249,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1250,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1251,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1252,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1253,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1254,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1255,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1256,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1257,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1258,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1259,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
1260,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1261,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1262,NULL,Forest,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
1263,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1264,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1265,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1266,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1267,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1268,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1269,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1270,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1271,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1272,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1273,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1274,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1275,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1276,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1277,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1278,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1279,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1280,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1281,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1282,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1283,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1284,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1285,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
1286,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1287,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1288,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
1289,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1290,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
1291,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1292,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1293,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1294,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
1295,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1296,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1297,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1298,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1299,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1300,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1301,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
1302,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
1303,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1304,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1305,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
1306,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
1307,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1308,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
1309,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1310,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
1311,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
1312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1314,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1315,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1316,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1317,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1318,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1319,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1320,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1321,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1322,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1323,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1324,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1325,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1326,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1327,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1328,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1329,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1330,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
1331,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1332,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1333,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1334,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1335,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1336,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1337,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1338,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1339,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1340,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1341,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1342,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1343,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1344,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1345,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1346,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1347,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
1348,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1349,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
1350,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
1351,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1352,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
1353,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1354,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1355,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1356,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1357,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1358,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1359,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1360,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
1361,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1362,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1363,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1364,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1365,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1366,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1367,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1368,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1369,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
1370,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
1371,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1372,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1373,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1374,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1375,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1376,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1377,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
1378,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
1379,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1380,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1381,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1382,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1383,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
1384,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1385,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
1386,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1387,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
1388,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1389,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
1390,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
1391,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Forest,Grassland
1392,Grassland,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
1393,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
1394,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
1395,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Forest,Grassland
1396,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1397,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1398,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1399,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1400,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1401,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1402,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1403,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1404,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1405,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1406,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1407,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
1408,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1409,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1410,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
1411,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1412,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1413,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1414,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1415,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
1416,Grassland,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Grassland
1417,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
1418,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1419,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
1420,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1421,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1422,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
1423,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1424,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
1425,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1426,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1427,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1428,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1429,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1430,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1431,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
1432,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
1433,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
1434,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1435,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
1436,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1437,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
1438,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
1439,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1440,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
1441,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1442,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
1443,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
1444,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1445,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
1446,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1447,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
1448,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1449,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1450,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1451,Grassland,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
1452,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1453,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
1454,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
1455,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
1456,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
1457,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
1458,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1459,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
1460,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1461,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
1462,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1463,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
1464,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1465,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1466,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1467,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1468,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1469,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1470,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1471,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1472,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1473,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
1474,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1475,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
1476,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1477,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1478,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1479,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1480,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1481,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1482,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1483,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
1484,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1485,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1486,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1487,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1488,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1489,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1490,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1491,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
1492,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
1493,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland,Bareland,Grassland
1494,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland,Bareland,Forest
1495,Grassland,NULL,Built-up,Water,Non_Wetland,Built-up,Wetland,Grassland
1496,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
1497,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Water
1498,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Forest
1499,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
1500,Grassland,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
1501,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
1502,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
1503,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
1504,Grassland,NULL,Water,Non_Water,Water,Water,Water,Water
1505,Grassland,NULL,Water,Water,Water,NULL,Wetland,Water
1506,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
1507,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Water
1508,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1509,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1510,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
1511,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
1512,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
1513,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
1514,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
1515,Grassland,NULL,Water,Water,Water,Water,Wetland,Forest
1516,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
1517,Grassland,NULL,Water,Water,Water,Water,Water,Water
1518,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1519,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1520,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1521,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1522,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1523,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1524,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1525,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1526,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1527,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1528,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1529,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1530,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1531,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1532,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
