Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
105,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
107,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
110,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
112,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
113,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
114,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
139,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Water
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
166,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
173,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
179,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Water
182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
195,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
198,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
199,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
201,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
205,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
208,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
209,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
210,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
214,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
216,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
218,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
219,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
220,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
221,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
222,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
225,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
226,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
227,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Wetland
228,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
229,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
230,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
231,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
232,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
233,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
234,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Forest
235,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
236,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
237,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
240,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
242,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
243,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
244,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
249,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
251,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
253,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
254,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
258,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
261,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
262,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
263,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
264,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
267,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
268,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
270,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
271,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
273,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
274,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
275,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
278,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
280,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
281,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
282,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
283,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
284,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
285,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
286,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Bareland
287,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
288,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
289,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
290,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
291,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Built-up
292,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
293,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Water
294,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Water
295,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
296,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Bareland
297,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Water
298,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Forest
299,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
300,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
301,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
302,NULL,NULL,Water,Water,Water,Bareland,Water,Water
303,NULL,NULL,Water,Water,Water,Bareland,Forest,Grassland
304,NULL,NULL,Water,Water,Water,Water,Grassland,Water
305,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
312,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
327,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
329,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
