Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R
114,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
116,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
117,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
125,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
127,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
128,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
133,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
135,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
137,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
138,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
139,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
143,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
144,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
145,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
146,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
147,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
149,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
150,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
151,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
152,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
154,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
155,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
157,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
158,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
159,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
161,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
162,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
163,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
165,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
166,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
167,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
169,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
170,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
171,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
172,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
175,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
176,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
177,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
178,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
179,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
180,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
181,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
182,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
183,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
184,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
186,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
187,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
188,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
189,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
190,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
192,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
194,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
196,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
199,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
200,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
201,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
204,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
205,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
206,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
208,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
210,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
213,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
216,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,Grassland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
219,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
220,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
222,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
224,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
225,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
232,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
233,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
237,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
238,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
239,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
240,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
241,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
242,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
243,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
244,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
245,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
246,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
247,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
249,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
250,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
251,Grassland,Water,Water,Water,Water,NULL,NULL,Water
252,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
253,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
255,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
256,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
259,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
260,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
262,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
264,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
267,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
268,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
271,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
272,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
273,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
274,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
275,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
276,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
277,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
278,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
279,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
280,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
281,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
284,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
285,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
287,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
289,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
291,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
292,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
293,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
295,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
296,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
297,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
298,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
299,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
300,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
301,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
303,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
304,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
305,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
307,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
308,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
309,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
310,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
312,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
314,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
315,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
316,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
318,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
319,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
321,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
322,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
323,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
324,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
326,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
327,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
328,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
329,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
330,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
331,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
332,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
333,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
334,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
335,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
336,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
337,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
338,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
339,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
