Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R
51,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
52,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
53,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
54,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
55,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
56,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
57,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
58,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
59,NULL,Water,Water,NULL,Water,NULL,NULL,Water
60,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
61,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
62,NULL,Water,Water,Water,Water,NULL,NULL,Water
63,NULL,Water,Water,Water,Water,NULL,NULL,Forest
64,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
66,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
70,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,NULL
71,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
72,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
74,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
76,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
86,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
87,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
88,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
89,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
90,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
92,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
93,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
94,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
101,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
103,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
104,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
105,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
106,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
107,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
109,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
110,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
111,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
112,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
113,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
114,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
115,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
116,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
117,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
118,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
119,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
120,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
121,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
123,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
125,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
126,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
127,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
128,Grassland,Water,Water,Water,Water,NULL,NULL,Water
129,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
130,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
132,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
133,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
134,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
135,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
136,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
138,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
139,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
140,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
141,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
142,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
143,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
144,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
145,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
146,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
147,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
149,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
150,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
151,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
152,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
156,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
157,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
158,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
159,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
161,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
162,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
164,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
166,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
167,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
168,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
169,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
170,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
171,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
172,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
173,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
175,Wetland,Water,Water,Water,Water,NULL,NULL,Water
176,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
177,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
178,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
179,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
180,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
181,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
183,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
184,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
185,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
187,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
188,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
189,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
190,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
191,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
192,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
193,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
194,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
195,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
196,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
197,Bareland,Water,Water,Water,Water,NULL,NULL,Water
198,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
199,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
200,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
201,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
203,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
205,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
206,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
208,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
209,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
210,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
212,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
213,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
214,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
216,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
217,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
219,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
220,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
221,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
222,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
223,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
224,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
225,Water,NULL,Water,Water,Water,NULL,NULL,NULL
226,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
227,Water,NULL,Water,Water,Water,NULL,NULL,Water
228,Water,NULL,Water,Water,Water,NULL,NULL,Forest
229,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
230,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
232,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
233,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
235,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
236,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
237,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
238,Water,Wetland,Water,Water,Water,NULL,NULL,Water
239,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
240,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
241,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
242,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
243,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
244,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
245,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
246,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
247,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
248,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
249,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
250,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
252,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
253,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
254,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
255,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
257,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
258,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
259,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
260,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
261,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
262,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
263,Water,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
264,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
266,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
267,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
268,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
269,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
270,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
271,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
272,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
274,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
275,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
276,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
277,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
278,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
279,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
280,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
281,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
282,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
283,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
284,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
285,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
286,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
287,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
288,Water,Water,Water,NULL,Water,NULL,NULL,Water
289,Water,Water,Water,NULL,Water,NULL,NULL,Forest
290,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
291,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
292,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
293,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
294,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
295,Water,Water,Water,Water,Water,NULL,NULL,NULL
296,Water,Water,Water,Water,Water,NULL,NULL,Grassland
297,Water,Water,Water,Water,Water,NULL,NULL,Wetland
298,Water,Water,Water,Water,Water,NULL,NULL,Bareland
299,Water,Water,Water,Water,Water,NULL,NULL,Water
300,Water,Water,Water,Water,Water,NULL,NULL,Forest
301,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
302,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
303,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
304,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
305,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
306,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
307,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
309,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
310,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
311,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
312,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
313,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
314,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
315,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
316,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
317,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
319,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
320,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
322,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
323,Water,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
324,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
327,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
328,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
329,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
330,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
331,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
332,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
334,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
335,Water,Forest,Water,NULL,Water,NULL,NULL,Bareland
336,Water,Forest,Water,NULL,Water,NULL,NULL,Water
337,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
338,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
339,Water,Forest,Water,Water,Water,NULL,NULL,Water
340,Water,Forest,Water,Water,Water,NULL,NULL,Forest
341,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
342,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
343,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
344,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
345,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
346,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
347,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
348,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
349,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
350,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
351,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
352,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
353,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
354,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
355,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
356,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,NULL,NULL,Water
