Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZK_M_R
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
192,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
195,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
199,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
202,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
205,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
242,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
244,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Cropland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
265,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
288,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
301,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
307,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
308,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
312,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
314,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
317,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
