Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R
856,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
857,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
858,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
859,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
860,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
861,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
862,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
863,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
864,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
865,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Water
866,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
867,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
868,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
869,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
870,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
871,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
872,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
873,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
874,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,NULL
875,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
876,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
877,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
878,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Water
879,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
880,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
881,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
882,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Water
883,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
884,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
885,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
886,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
887,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
888,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
889,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
890,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
891,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
892,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
893,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
894,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
895,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
896,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
897,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
898,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
899,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
900,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Water
901,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
902,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
903,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
904,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
905,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
906,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
907,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
908,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
909,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
910,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
911,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
912,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
913,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
914,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
915,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
916,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
917,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
918,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
919,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
920,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
921,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
922,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
923,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
924,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
925,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
926,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Bareland
927,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
928,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
929,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
930,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
931,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
932,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
933,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
934,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
935,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
936,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
937,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
938,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
939,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
940,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
941,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
942,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
943,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
944,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
945,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
946,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
947,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
948,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
949,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
950,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
951,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Forest
952,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
953,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
954,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
955,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
956,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
957,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
958,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
959,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
960,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
961,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
962,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
963,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
964,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
965,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
966,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
967,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
968,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
969,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
970,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
971,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
972,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
973,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
974,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
975,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
976,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
977,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
978,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
979,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Water
980,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
981,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
982,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
983,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
984,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
985,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
986,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Water
987,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
988,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
989,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
990,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
991,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
992,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
993,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
994,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
995,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
996,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
997,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
998,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
999,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1000,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1001,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1002,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1003,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1004,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
1005,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Water
1006,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1007,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1008,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1009,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
1010,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
1011,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1012,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
1013,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1014,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1015,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1016,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
1017,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1018,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1019,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1020,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
1021,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1022,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
1023,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1024,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1025,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1026,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1027,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1028,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Shrubland,Grassland
1029,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Shrubland,Bareland
1030,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1031,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
1032,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Water
1033,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
1034,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Water
1035,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
1036,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
1037,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
1038,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
1039,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
1040,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Cropland
1041,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
1042,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
1043,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
1044,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
1045,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1046,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
1047,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Water,Forest
1048,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
1049,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
1050,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
1051,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
1052,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
1053,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
1054,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1055,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1056,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1057,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Bareland
1058,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
1059,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1060,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1061,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
1062,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
1063,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1064,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1065,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
1066,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1067,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
1068,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
1069,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
1070,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Forest,Forest
1071,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1072,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1073,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1074,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1075,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1076,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1077,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1078,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1079,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1080,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1081,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
1082,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1083,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1084,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1085,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
1086,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1087,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1088,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1089,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1090,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1091,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Forest
1092,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
1093,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Forest
1094,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1095,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
1096,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland,Grassland
1097,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Grassland
1098,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Bareland
1099,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
1100,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
1101,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Water
1102,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Wetland,Grassland
1103,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Grassland
1104,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
1105,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Forest
1106,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Grassland
1107,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1108,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
1109,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1110,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
1111,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Shrubland,Grassland
1112,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
1113,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
1114,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Shrubland,Forest
1115,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1116,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
1117,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1118,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
1119,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
1120,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
1121,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Forest,Grassland
1122,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Bareland
1123,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
1124,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
1125,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1126,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
1127,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
1128,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,NULL
1129,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
1130,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
1131,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
1132,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
1133,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
1134,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Cropland
1135,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
1136,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
1137,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
1138,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1139,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Cropland
1140,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1141,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1142,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
1143,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
1144,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
1145,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
1146,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Cropland
1147,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
1148,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
1149,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
1150,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
1151,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
1152,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
1153,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
1154,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1155,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Cropland
1156,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1157,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1158,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
1159,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
1160,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
1161,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
1162,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
1163,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Wetland
1164,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
1165,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
1166,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
1167,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
1168,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
1169,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1170,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
1171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
1172,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
1173,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
1174,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
1175,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
1176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
1178,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
1180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1181,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
1182,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1183,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1184,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
