Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R
53,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
55,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
61,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
65,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
67,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
70,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
71,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
72,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
76,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
77,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
78,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
80,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
82,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
86,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
87,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
88,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
90,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
91,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
92,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
94,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
95,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
96,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
97,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
98,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
99,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
100,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
101,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
102,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
103,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Grassland
104,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,Water
105,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
107,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
109,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Water
115,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
117,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
118,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Forest,Grassland
120,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Forest,Water
121,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
122,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
123,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
124,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Bareland
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
131,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
132,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
134,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
135,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
136,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
137,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
138,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
139,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
140,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
141,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
144,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
145,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
146,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
147,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
148,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
149,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
150,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Water
151,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
152,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
153,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
154,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Water
155,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Built-up
158,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
159,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
161,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
162,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
163,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
164,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
167,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
168,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
170,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
171,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
172,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
173,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
174,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
175,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
176,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
177,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
178,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
179,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
180,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
181,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
182,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
183,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
185,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
186,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
187,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
188,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
189,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
190,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
191,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Water
192,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
193,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Forest,Grassland
194,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
195,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Water
196,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
197,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
198,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
199,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
200,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
201,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
202,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
203,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
204,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
205,NULL,NULL,Water,NULL,Water,Water,Water,Forest
206,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
207,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
208,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Bareland
209,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
210,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Bareland
211,NULL,NULL,Water,Non_Water,Water,Bareland,Forest,Bareland
212,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
213,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
214,NULL,NULL,Water,Water,Water,Grassland,Water,Water
215,NULL,NULL,Water,Water,Water,Bareland,Water,Water
216,NULL,NULL,Water,Water,Water,Bareland,Forest,Water
217,NULL,NULL,Water,Water,Water,Water,Grassland,Water
218,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
219,NULL,NULL,Water,Water,Water,Water,Water,Water
220,NULL,NULL,Water,Water,Water,Water,Forest,Water
221,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
222,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
228,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
229,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
244,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
245,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
246,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
247,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
250,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
260,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
267,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Water
269,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
272,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
273,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
274,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
276,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
277,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
281,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
284,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
285,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
287,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
288,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
290,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
291,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
292,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
294,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
296,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
297,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
298,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
299,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
300,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
301,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
302,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
303,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
308,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
310,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
312,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
313,NULL,Cropland,Water,NULL,Water,Grassland,Bareland,Grassland
314,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
316,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
317,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
318,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
319,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
320,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
321,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
322,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
323,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
324,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
325,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
326,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
327,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
328,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
329,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
330,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
331,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
332,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
333,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland,Water,Water
