Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFP_M_R
6464,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
6465,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Shrubland,Cropland
6466,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
6467,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
6468,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
6469,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
6470,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
6471,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
6472,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
6473,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
6474,Grassland,Cropland,Cropland,Water,Non_Wetland,Shrubland,NULL,Grassland
6475,Grassland,Cropland,Cropland,Water,Non_Wetland,Shrubland,Wetland,Grassland
6476,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
6477,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,NULL,Grassland
6478,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,NULL,Cropland
6479,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,Wetland,Grassland
6480,Grassland,Cropland,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
6481,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
6482,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
6483,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
6484,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
6485,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
6486,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
6487,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Shrubland,Cropland
6488,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Shrubland,Forest
6489,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
6490,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Cropland
6491,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Bareland
6492,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Wetland,NULL
6493,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
6494,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Wetland,Cropland
6495,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
6496,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Wetland,Forest
6497,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Forest,Grassland
6498,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Forest,Forest
6499,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,NULL
6500,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
6501,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Cropland
6502,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
6503,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Forest
6504,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
6505,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
6506,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Cropland
6507,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
6508,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
6509,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
6510,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
6511,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
6512,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
6513,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
6514,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Wetland,Cropland
6515,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
6516,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
6517,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
6518,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Forest,NULL
6519,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
6520,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Forest,Forest
6521,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,NULL
6522,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
6523,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Cropland
6524,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Forest
6525,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
6526,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
6527,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
6528,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,NULL
6529,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
6530,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
6531,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
6532,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
6533,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Forest,Grassland
6534,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,NULL
6535,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Grassland
6536,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Cropland
6537,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Wetland
6538,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Water
6539,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Forest
6540,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Shrubland,Grassland
6541,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Shrubland,Cropland
6542,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Shrubland,Wetland
6543,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Shrubland,Forest
6544,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
6545,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Grassland,Cropland
6546,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Grassland,Forest
6547,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
6548,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Wetland,Cropland
6549,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
6550,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Wetland,Forest
6551,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Forest,Grassland
6552,Grassland,Cropland,Wetland,NULL,Wetland,Cropland,Forest,Forest
6553,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,NULL,Grassland
6554,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,NULL,Cropland
6555,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,NULL,Wetland
6556,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,NULL,Water
6557,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
6558,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Shrubland,Cropland
6559,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
6560,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
6561,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
6562,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Cropland
6563,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Bareland
6564,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
6565,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
6566,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
6567,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
6568,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
6569,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Water
6570,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
6571,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
6572,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Forest,Forest
6573,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,NULL,Grassland
6574,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,NULL,Cropland
6575,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,NULL,Bareland
6576,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
6577,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Shrubland,Cropland
6578,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Shrubland,Bareland
6579,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Shrubland,Forest
6580,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
6581,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Cropland
6582,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
6583,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
6584,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Wetland,Cropland
6585,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
6586,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
6587,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
6588,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Forest,NULL
6589,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Forest,Grassland
6590,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Forest,Forest
6591,Grassland,Cropland,Wetland,NULL,Wetland,Forest,NULL,Grassland
6592,Grassland,Cropland,Wetland,NULL,Wetland,Forest,NULL,Forest
6593,Grassland,Cropland,Wetland,NULL,Wetland,Forest,Shrubland,Forest
6594,Grassland,Cropland,Wetland,NULL,Wetland,Forest,Grassland,Forest
6595,Grassland,Cropland,Wetland,NULL,Wetland,Forest,Wetland,Grassland
6596,Grassland,Cropland,Wetland,NULL,Wetland,Forest,Wetland,Wetland
6597,Grassland,Cropland,Wetland,NULL,Wetland,Forest,Wetland,Forest
6598,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
6599,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
6600,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Shrubland,Grassland
6601,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Shrubland,Cropland
6602,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
6603,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland,Cropland
6604,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
6605,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland,Cropland
6606,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,Grassland
6607,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,Cropland
6608,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
6609,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
6610,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
6611,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Wetland,NULL
6612,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
6613,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Wetland,Water
6614,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
6615,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Shrubland,Grassland
6616,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
6617,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
6618,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Wetland,Cropland
6619,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,NULL,Grassland
6620,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,NULL,Cropland
6621,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,Shrubland,Grassland
6622,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,Grassland,Grassland
6623,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,Grassland,Cropland
6624,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,Wetland,Grassland
6625,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,Wetland,Cropland
6626,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland,Wetland,Forest
6627,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
6628,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
6629,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Shrubland,Cropland
6630,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
6631,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
6632,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
6633,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
6634,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
6635,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,NULL,Cropland
6636,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Shrubland,Grassland
6637,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
6638,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Grassland,Cropland
6639,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
6640,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Wetland,Cropland
6641,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
6642,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
6643,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
6644,Grassland,Cropland,Wetland,Water,Wetland,NULL,Grassland,Grassland
6645,Grassland,Cropland,Wetland,Water,Wetland,NULL,Wetland,Grassland
6646,Grassland,Cropland,Wetland,Water,Wetland,NULL,Wetland,Cropland
6647,Grassland,Cropland,Wetland,Water,Wetland,Shrubland,NULL,Grassland
6648,Grassland,Cropland,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
6649,Grassland,Cropland,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
6650,Grassland,Cropland,Wetland,Water,Wetland,Shrubland,Wetland,Wetland
6651,Grassland,Cropland,Wetland,Water,Wetland,Grassland,NULL,Grassland
6652,Grassland,Cropland,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
6653,Grassland,Cropland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
6654,Grassland,Cropland,Wetland,Water,Wetland,Cropland,NULL,Grassland
6655,Grassland,Cropland,Wetland,Water,Wetland,Cropland,NULL,Cropland
6656,Grassland,Cropland,Wetland,Water,Wetland,Cropland,Wetland,Grassland
6657,Grassland,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
6658,Grassland,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Cropland
6659,Grassland,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Bareland
6660,Grassland,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Water
6661,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
6662,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
6663,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
6664,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
6665,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
6666,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
6667,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
6668,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
6669,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
6670,Grassland,Cropland,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
6671,Grassland,Cropland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Water
6672,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
6673,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
6674,Grassland,Cropland,Water,NULL,Water,Shrubland,NULL,Grassland
6675,Grassland,Cropland,Water,NULL,Water,Shrubland,NULL,Wetland
6676,Grassland,Cropland,Water,NULL,Water,Shrubland,Shrubland,Grassland
6677,Grassland,Cropland,Water,NULL,Water,Shrubland,Wetland,Grassland
6678,Grassland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
6679,Grassland,Cropland,Water,NULL,Water,Cropland,NULL,Grassland
6680,Grassland,Cropland,Water,NULL,Water,Cropland,Grassland,Grassland
6681,Grassland,Cropland,Water,NULL,Water,Wetland,NULL,Grassland
6682,Grassland,Cropland,Water,NULL,Water,Wetland,Grassland,Grassland
6683,Grassland,Cropland,Water,NULL,Water,Wetland,Wetland,Grassland
6684,Grassland,Cropland,Water,NULL,Water,Bareland,NULL,Bareland
6685,Grassland,Cropland,Water,NULL,Water,Bareland,Shrubland,Grassland
6686,Grassland,Cropland,Water,NULL,Water,Water,NULL,Grassland
6687,Grassland,Cropland,Water,Non_Water,Water,Shrubland,Wetland,Grassland
6688,Grassland,Cropland,Water,Water,Water,NULL,NULL,Grassland
6689,Grassland,Cropland,Water,Water,Water,Bareland,Grassland,Grassland
6690,Grassland,Cropland,Water,Water,Water,Bareland,Wetland,Water
6691,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
6692,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
6693,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
6694,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
6695,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6696,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
6697,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
6698,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Bareland
6699,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
6700,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
6701,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
6702,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
6703,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Bareland
6704,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
6705,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
6706,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
6707,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Cropland
6708,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
6709,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
6710,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
6711,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
6712,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
6713,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
6714,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
6715,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
6716,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
6717,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Water
6718,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
6719,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6720,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6721,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
6722,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
6723,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6724,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
6725,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6726,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
6727,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
6728,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
6729,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6730,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Cropland
6731,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
6732,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
6733,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
6734,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
6735,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
6736,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
6737,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
6738,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
6739,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
6740,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
6741,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
6742,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
6743,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
6744,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6745,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
6746,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
6747,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
6748,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6749,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
6750,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
6751,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
6752,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
6753,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6754,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
6755,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
6756,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
6757,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
6758,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
6759,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
6760,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
6761,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
6762,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
6763,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
6764,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
6765,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Wetland
6766,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Bareland
6767,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
6768,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
6769,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
6770,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
6771,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Wetland
6772,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
6773,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
6774,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
6775,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
6776,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Bareland
6777,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
6778,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
6779,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Cropland
6780,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Wetland
6781,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
6782,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
6783,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
6784,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
6785,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
