Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRK_M_R
715,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
716,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Cropland
717,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
718,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Bareland
719,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Water
720,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,NULL
721,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Cropland
722,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Bareland
723,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,NULL
724,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
725,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
726,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,NULL
727,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Grassland
728,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Cropland
729,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Wetland
730,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Water
731,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Forest
732,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
733,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
734,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Wetland
735,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Bareland
736,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Water
737,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Forest
738,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,NULL
739,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
740,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Cropland
741,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
742,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,NULL
743,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,NULL
744,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
745,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Bareland
746,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Water
747,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
748,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
749,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
750,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,NULL
751,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
752,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,NULL
753,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
754,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Wetland
755,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
756,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
757,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Grassland
758,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
759,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
760,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
761,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
762,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
763,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Bareland
764,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,NULL
765,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
766,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Cropland
767,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
768,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
769,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
770,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Forest
771,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,NULL
772,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Grassland
773,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Wetland
774,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Bareland
775,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Water
776,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
777,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
778,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
779,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Bareland
780,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,NULL
781,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
782,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Cropland
783,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
784,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
785,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
786,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
787,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
788,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
789,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
790,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
791,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
792,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
793,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Cropland
794,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Bareland
795,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
796,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
797,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
798,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
799,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,NULL
800,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
801,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Bareland
802,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Built-up
803,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
804,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Cropland
805,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,NULL
806,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Bareland
807,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
808,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
809,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
810,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
811,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
812,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
813,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
814,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
815,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
816,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
817,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
818,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
819,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
820,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
821,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
822,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
823,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,NULL
824,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,Grassland
825,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,Bareland
826,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
827,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
828,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
829,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
830,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
831,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
832,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
833,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
834,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
835,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
836,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
837,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
838,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
839,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
840,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
841,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
842,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
843,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
844,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
845,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
846,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
847,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
848,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
849,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
850,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
851,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
852,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
853,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
854,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
855,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
856,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
857,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
858,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
859,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Cropland
860,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
861,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
862,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
863,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
864,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
865,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
866,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
867,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
868,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,NULL
869,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
870,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
871,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
872,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
873,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
874,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
875,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
876,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
877,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
878,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
879,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
880,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
881,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
882,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
883,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Water,NULL
884,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
885,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
886,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
887,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
888,NULL,NULL,Grassland,Water,Non_Wetland,Water,NULL,Grassland
889,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
890,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
891,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
892,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
893,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
894,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
895,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
896,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
897,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
898,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
899,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
900,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
901,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
902,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
903,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
904,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
905,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
906,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
907,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
908,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
909,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
910,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
911,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
912,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
913,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
914,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
915,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Wetland
916,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
917,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
918,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
919,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
920,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
921,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
922,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
923,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
924,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
925,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,NULL
926,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
927,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
928,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
929,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
930,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
931,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
932,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
933,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
934,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
935,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
936,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Bareland
937,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
938,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Water
939,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
940,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
941,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
942,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
943,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
944,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
945,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
946,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Water
947,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
948,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
949,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
950,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
951,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
952,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
953,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
954,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
955,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
956,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
957,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
958,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
959,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
960,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
961,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
962,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
963,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
964,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,NULL
965,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
966,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Bareland
967,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
968,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
969,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
970,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
971,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
972,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
973,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
974,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
975,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
976,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
977,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
978,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
979,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
980,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
981,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
982,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
983,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
984,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
985,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
986,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
987,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
988,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
989,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
990,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
991,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
992,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
993,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
994,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
995,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
996,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
997,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,NULL
998,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
999,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
1000,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1001,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1002,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1003,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
1004,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
1005,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1006,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1007,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
1008,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
1009,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
1010,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1011,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1012,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1013,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
1014,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,NULL
1015,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1016,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1017,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,NULL
1018,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
1019,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
1020,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
1021,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
1022,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1023,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1024,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Wetland
1025,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1026,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1027,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Water
1028,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1029,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1030,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1031,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1032,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1033,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1034,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Water
1035,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
1036,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1037,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1038,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
1039,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1040,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1041,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
1042,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1043,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
1044,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
