Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KER_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KER_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KER_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KER_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KER_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KER_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KER_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KER_M_R
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
61,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
63,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
67,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
69,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
71,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
73,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
74,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
82,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
87,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
95,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
96,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
102,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
105,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
128,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
129,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
130,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
136,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
137,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
139,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
146,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
147,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
149,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
150,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
151,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
153,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
154,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
155,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Water
158,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
159,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
160,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
161,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
162,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
164,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
168,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
169,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
171,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
172,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
174,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
176,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
177,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
178,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
180,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
181,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
182,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
183,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
184,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
185,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
186,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
187,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
188,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
189,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
191,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
192,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
194,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
195,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
197,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
199,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
201,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
202,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
204,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
206,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
208,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
211,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
214,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
215,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
216,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
217,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
218,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
222,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
225,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
226,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
227,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
229,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
232,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
233,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
235,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
236,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
238,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
239,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
242,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
243,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
244,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
245,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
246,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
247,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
250,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
251,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
253,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
254,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
255,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
256,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
257,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
258,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
260,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
261,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
262,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
263,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
264,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
265,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
266,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
267,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
268,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
269,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
270,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
271,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
272,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
273,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
274,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
275,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
276,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
277,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
278,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
279,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
280,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
281,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
282,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
283,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
285,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
286,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
287,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
288,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
289,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
290,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
291,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
292,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
293,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
294,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
295,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
296,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
297,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
298,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
299,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
300,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
301,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
302,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
303,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
304,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
306,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
307,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
308,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
309,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
310,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
311,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
312,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
313,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
315,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
316,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
317,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
319,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
320,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
321,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
322,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
323,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
324,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
325,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
326,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
327,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
