Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYN_M_R
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
78,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
84,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
85,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
86,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
108,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
118,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
120,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
128,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
131,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
133,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
134,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
135,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
136,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
137,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
141,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
142,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
143,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
147,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
148,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
151,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
153,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
155,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
156,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
157,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
158,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
159,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
164,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
165,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
167,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
170,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
171,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
172,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
173,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
175,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Grassland
176,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
177,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
178,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
180,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
181,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
182,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
184,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
185,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
188,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Forest,Forest
190,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
192,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
193,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
195,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
196,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
197,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
199,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
200,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
202,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
205,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
206,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
207,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
208,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
209,NULL,NULL,Water,Water,Water,Water,Water,Bareland
210,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
226,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
233,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
244,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
245,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
251,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
254,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
257,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Forest
258,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Forest
260,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
261,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
263,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
264,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
265,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
266,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
267,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
268,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
269,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
270,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
271,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
272,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
273,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
274,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
275,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
276,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
277,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
278,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
279,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
281,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
282,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
283,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
284,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
285,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
287,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
288,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
289,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
290,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
292,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
294,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
295,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
296,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
297,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
298,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
299,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
301,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
302,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
303,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
304,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
306,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
307,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
308,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
309,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
310,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
312,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
313,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
314,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
315,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
316,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
317,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
318,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
319,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
321,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
322,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
323,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
324,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Water,Forest
325,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
326,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
