Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUS_M_R
1839,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
1840,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
1841,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
1842,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1843,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1844,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Bareland
1845,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Water
1846,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
1847,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1848,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
1849,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
1850,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1851,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1852,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
1853,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
1854,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1855,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1856,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Water
1857,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,NULL
1858,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1859,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
1860,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1861,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Water
1862,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
1863,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1864,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
1865,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
1866,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
1867,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
1868,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1869,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1870,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1871,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1872,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
1873,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Water
1874,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1875,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Cropland
1876,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1877,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1878,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
1879,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1880,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
1881,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,NULL,Grassland
1882,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Wetland
1883,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,NULL,NULL
1884,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,NULL,Forest
1885,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Shrubland,NULL
1886,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
1887,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Grassland,NULL
1888,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1889,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
1890,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
1891,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Shrubland,NULL
1892,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Shrubland,Bareland
1893,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland,Bareland
1894,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland,Water
1895,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water,Wetland
1896,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,NULL,Grassland
1897,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,NULL,Wetland
1898,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,NULL,Water
1899,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Shrubland,NULL
1900,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Shrubland,Wetland
1901,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Grassland,NULL
1902,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Grassland,Grassland
1903,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Grassland,Cropland
1904,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Grassland,Bareland
1905,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Grassland,Water
1906,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Water,Wetland
1907,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,NULL
1908,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
1909,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Wetland
1910,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Bareland
1911,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,NULL,Water
1912,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Shrubland,Grassland
1913,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Shrubland,Wetland
1914,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Shrubland,Water
1915,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,NULL
1916,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
1917,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Cropland
1918,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Wetland
1919,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Bareland
1920,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Water
1921,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,NULL
1922,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Bareland
1923,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Water
1924,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Shrubland,Bareland
1925,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Cropland
1926,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Bareland
1927,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
1928,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
1929,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
1930,NULL,NULL,Bareland,Water,Non_Wetland,Built-up,Built-up,Cropland
1931,NULL,NULL,Bareland,Water,Non_Wetland,Water,NULL,Grassland
1932,NULL,NULL,Bareland,Water,Non_Wetland,Water,NULL,Water
1933,NULL,NULL,Bareland,Water,Non_Wetland,Water,Shrubland,Wetland
1934,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
1935,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Wetland
1936,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1937,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1938,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1939,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1940,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1941,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1942,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1943,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
1944,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
1945,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Cropland
1946,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
1947,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
1948,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
1949,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1950,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1951,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
1952,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1953,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
1954,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
1955,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
1956,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1957,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
1958,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1959,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
1960,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1961,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
1962,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
1963,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1964,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
1965,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
1966,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
1967,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Cropland
1968,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Bareland
1969,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
1970,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
1971,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1972,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1973,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1974,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1975,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1976,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1977,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
1978,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1979,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1980,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1981,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1982,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1983,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
1984,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1985,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1986,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1987,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
1988,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1989,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Cropland
1990,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1991,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
1992,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Grassland
1993,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Cropland
1994,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1995,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1996,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1997,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Wetland
1998,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
1999,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
2000,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
2001,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
2002,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2003,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2004,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2005,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2006,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
2007,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2008,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
2009,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
2010,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
2011,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2012,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Water
2013,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2014,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
2015,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2016,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
2017,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
2018,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
2019,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
2020,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
2021,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2022,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
2023,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
2024,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
2025,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
2026,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
2027,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Cropland
2028,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
2029,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,NULL
2030,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
2031,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
2032,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
2033,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
2034,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Shrubland,NULL
2035,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
2036,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Bareland,Bareland
2037,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Cropland
2038,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
2039,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2040,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
2041,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2042,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2043,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
2044,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2045,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Cropland
2046,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2047,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2048,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
2049,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
2050,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2051,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
2052,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
2053,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2054,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
2055,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2056,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
2057,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2058,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2059,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
2060,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2061,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
2062,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
2063,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
2064,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Water
2065,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
2066,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
2067,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
2068,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2069,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
2070,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Bareland
2071,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2072,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
2073,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2074,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Bareland
2075,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2076,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
2077,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2078,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
2079,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
2080,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2081,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
2082,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2083,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
2084,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
2085,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2086,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2087,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2088,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2089,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2090,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
2091,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
2092,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
2093,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
2094,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,NULL
2095,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,NULL,NULL
2096,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
2097,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
2098,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2099,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
2100,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
2101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Built-up,NULL
2102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,NULL
2103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Cropland
2105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Bareland
2106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Bareland
2111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
2112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Shrubland,NULL
2113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Bareland
2114,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
2115,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
2116,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Shrubland,Grassland
2117,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Shrubland,Bareland
2118,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland,Water
2119,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland,Bareland
2120,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,NULL,Bareland
2121,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Shrubland,NULL
2122,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Grassland,NULL
2123,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Bareland,Bareland
2124,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Grassland
2125,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
2126,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Bareland
2127,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Bareland,Bareland
2128,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Built-up,Cropland
2129,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,NULL,Grassland
2130,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,NULL,Bareland
2131,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Grassland,Bareland
2132,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
2133,NULL,NULL,Built-up,Water,Non_Wetland,Water,NULL,Cropland
2134,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
2135,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
2136,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
2137,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
2138,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
2139,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
2140,NULL,NULL,Water,NULL,Water,NULL,Shrubland,NULL
2141,NULL,NULL,Water,NULL,Water,NULL,Shrubland,Grassland
2142,NULL,NULL,Water,NULL,Water,NULL,Grassland,Grassland
2143,NULL,NULL,Water,NULL,Water,NULL,Grassland,Cropland
2144,NULL,NULL,Water,NULL,Water,NULL,Grassland,Wetland
2145,NULL,NULL,Water,NULL,Water,NULL,Water,NULL
2146,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Grassland
2147,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,NULL
2148,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Grassland
2149,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Wetland
2150,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Bareland
2151,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Water
2152,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Forest
2153,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Grassland
2154,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Wetland
2155,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Bareland
2156,NULL,NULL,Water,NULL,Water,Shrubland,Water,NULL
2157,NULL,NULL,Water,NULL,Water,Shrubland,Water,Bareland
2158,NULL,NULL,Water,NULL,Water,Grassland,NULL,NULL
2159,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
2160,NULL,NULL,Water,NULL,Water,Grassland,NULL,Bareland
2161,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Grassland
2162,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
2163,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Cropland
2164,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
