Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
112,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
113,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
114,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Wetland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
245,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
247,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
255,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
256,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Water
257,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Wetland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
296,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Wetland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Wetland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
313,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Water
314,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Wetland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Bareland
