Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
62,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
63,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
64,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
65,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
66,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
68,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
69,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
70,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
71,NULL,NULL,Water,Water,Water,NULL,NULL,Water
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
97,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
101,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Water
107,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
108,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
109,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
110,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
111,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
112,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
113,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
114,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
119,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
120,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
121,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
122,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
123,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
124,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
125,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
126,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
127,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
134,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
136,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
143,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
148,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
150,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
152,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
153,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
155,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
169,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
171,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
183,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
184,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
185,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
186,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
187,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
188,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
189,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
194,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
199,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
200,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
201,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
202,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
203,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
204,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
205,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
211,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
214,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
215,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
217,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
223,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
225,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
226,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
230,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
234,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
235,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
236,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
237,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
238,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
239,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
240,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
241,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
242,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
245,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
246,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
247,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
248,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
249,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
250,NULL,Water,Water,Water,Water,NULL,NULL,Water
251,NULL,Water,Water,Water,Water,NULL,NULL,Forest
252,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
255,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
257,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
258,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
260,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
261,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
266,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
268,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
271,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
275,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
277,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
278,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
279,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
285,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
286,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
287,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
288,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
292,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
297,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
299,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
300,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
301,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
302,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
308,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
309,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
310,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
311,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
313,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
314,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
315,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
316,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
320,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
321,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
323,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
324,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
325,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
328,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
331,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
332,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
339,Grassland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
340,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,Grassland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
343,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
344,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
