Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
60,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
61,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
62,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
63,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
64,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
65,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
66,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
67,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
68,NULL,NULL,Water,Water,Water,NULL,NULL,Water
69,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
79,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
82,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
86,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
91,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
103,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
104,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
120,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
123,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
126,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
138,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
139,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
140,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
141,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
142,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
143,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
144,NULL,Cropland,Water,Water,Water,NULL,NULL,NULL
145,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
146,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
147,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
152,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
175,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
177,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
178,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
179,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
182,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
185,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
192,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
194,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
197,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
199,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
200,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
203,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
208,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
211,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
212,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
213,NULL,Forest,Water,Water,Water,NULL,NULL,Water
214,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
217,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
219,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
221,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
225,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
226,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
232,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
234,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
235,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
236,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
238,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
239,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
240,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
241,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
243,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
244,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
247,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
250,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
251,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
252,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
253,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
254,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
256,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
257,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
258,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
259,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
262,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
266,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
267,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
268,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
269,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
270,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
271,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
272,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
273,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
274,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
275,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
277,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
279,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
281,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
283,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
284,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
285,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
286,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
287,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
289,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
290,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
292,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
294,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
296,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
297,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
299,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
300,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
302,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
303,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
304,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
306,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
307,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
308,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
309,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
312,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
313,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
314,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
315,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
316,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
318,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
319,Grassland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
320,Grassland,Cropland,Water,NULL,Water,NULL,NULL,NULL
321,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
322,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
323,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
324,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
325,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
327,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
331,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
333,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
335,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
337,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
338,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
