Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
77,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,NULL
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
199,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
203,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
210,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
238,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
248,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
250,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
251,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
252,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
254,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
256,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
258,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
260,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
261,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
262,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
263,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,NULL
264,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
266,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
267,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
269,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
270,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Wetland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,NULL
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
302,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
310,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
312,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
313,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
317,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
319,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
323,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
324,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
325,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
