Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
75,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
76,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
77,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
78,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
79,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
80,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
82,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
84,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
88,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
93,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
96,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
97,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
98,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
99,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
100,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
102,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
103,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
104,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Built-up
116,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
117,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
126,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
130,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
131,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
138,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
142,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
143,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
144,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
145,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
146,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
147,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
148,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
149,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
157,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
160,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
161,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
162,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
163,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
164,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
165,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
166,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
167,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
168,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
169,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
170,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
178,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
181,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
182,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
185,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
189,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
190,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
193,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
194,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
195,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
196,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
197,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
198,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
199,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
200,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
201,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
204,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
205,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
206,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
207,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
208,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
209,NULL,Water,Water,Water,Water,NULL,NULL,Water
210,NULL,Water,Water,Water,Water,NULL,NULL,Forest
211,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
215,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
216,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
225,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
227,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
228,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
232,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Built-up
233,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
234,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
235,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
236,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
237,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
240,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
243,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
245,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
246,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
247,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
254,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
256,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
258,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
259,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
260,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
261,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
262,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
263,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
264,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
266,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
267,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
268,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
269,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
270,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
271,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
272,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
274,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
275,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
280,Grassland,Wetland,Water,Water,Water,NULL,NULL,Forest
281,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
284,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
286,Grassland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
287,Grassland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
288,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
290,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
293,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
296,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
297,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
299,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
301,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
302,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
303,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
304,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
305,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
306,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
307,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
311,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
312,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
313,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
314,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
316,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
317,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
318,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
319,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
320,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
321,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
322,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
323,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
324,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
325,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
327,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
328,Cropland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
330,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
331,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
332,Cropland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
333,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
334,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
335,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
336,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
337,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
338,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
339,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
340,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
341,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
342,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
343,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
344,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
