Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCH_M_R
77,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
78,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
79,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Water
80,NULL,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
81,NULL,Water,Forest,Water,Non_Wetland,Wetland,NULL,Water
82,NULL,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
83,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
85,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
86,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
87,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
88,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
89,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
95,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
96,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
97,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
98,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
99,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
100,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
101,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
102,NULL,Forest,Wetland,NULL,Wetland,Wetland,NULL,Forest
103,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
104,NULL,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
105,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
106,NULL,Forest,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
107,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
109,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
110,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
111,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
114,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
115,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
117,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
118,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
120,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
121,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
122,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
123,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
124,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
125,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
126,NULL,Forest,Forest,Water,Non_Wetland,Forest,NULL,Forest
127,NULL,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
128,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
129,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
130,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
131,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
132,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
133,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
134,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
135,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
136,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
137,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
138,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
139,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
140,Cropland,Water,Water,Water,Water,Wetland,NULL,Water
141,Cropland,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
142,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
143,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
144,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
145,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
146,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
147,Cropland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
148,Cropland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
149,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
150,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
151,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
152,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
153,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
154,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
155,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
156,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
157,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
158,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
159,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
160,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
161,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
162,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
163,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
164,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
165,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
166,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
167,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
168,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
169,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
170,Wetland,Water,Wetland,NULL,Wetland,Wetland,NULL,Bareland
171,Wetland,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
172,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
173,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
174,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Water
175,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
176,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Bareland
177,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
178,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
179,Wetland,Water,Wetland,Water,Wetland,Wetland,NULL,Water
180,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
181,Wetland,Water,Water,NULL,Water,Wetland,NULL,Water
182,Wetland,Water,Water,NULL,Water,Wetland,Water,Water
183,Wetland,Water,Water,Non_Water,Water,Wetland,NULL,Water
184,Wetland,Water,Water,Non_Water,Water,Wetland,Water,Bareland
185,Wetland,Water,Water,Non_Water,Water,Wetland,Water,Water
186,Wetland,Water,Water,Water,Water,Wetland,NULL,Water
187,Wetland,Water,Water,Water,Water,Wetland,Water,Water
188,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
189,Wetland,Water,Forest,Water,Non_Wetland,Wetland,NULL,Forest
190,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
191,Bareland,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
192,Bareland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
193,Bareland,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
194,Bareland,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
195,Bareland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
196,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Water
197,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
198,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
199,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
200,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Water
201,Bareland,Water,Wetland,Water,Wetland,Wetland,Forest,Water
202,Bareland,Water,Water,NULL,Water,Wetland,NULL,Water
203,Bareland,Water,Water,NULL,Water,Wetland,Water,Water
204,Bareland,Water,Water,Non_Water,Water,Wetland,NULL,Water
205,Bareland,Water,Water,Non_Water,Water,Wetland,Forest,Water
206,Bareland,Water,Water,Water,Water,Wetland,NULL,Grassland
207,Bareland,Water,Water,Water,Water,Wetland,NULL,Bareland
208,Bareland,Water,Water,Water,Water,Wetland,NULL,Water
209,Bareland,Water,Water,Water,Water,Wetland,Wetland,Water
210,Bareland,Water,Water,Water,Water,Wetland,Water,Water
211,Bareland,Water,Water,Water,Water,Wetland,Forest,Bareland
212,Bareland,Water,Water,Water,Water,Wetland,Forest,Water
213,Bareland,Water,Water,Water,Water,Forest,NULL,Forest
214,Bareland,Water,Water,Water,Water,Forest,Water,Forest
215,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
216,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
217,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
218,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
219,Bareland,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
220,Bareland,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Water
221,Bareland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
222,Bareland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
223,Bareland,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
224,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
225,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
226,Bareland,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
227,Bareland,Water,Forest,Water,Non_Wetland,Wetland,Forest,Bareland
228,Bareland,Water,Forest,Water,Non_Wetland,Wetland,Forest,Forest
229,Bareland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
230,Bareland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
231,Bareland,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
232,Bareland,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
233,Bareland,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Forest
234,Bareland,Forest,Wetland,Water,Wetland,Forest,NULL,Forest
235,Bareland,Forest,Water,NULL,Water,Wetland,NULL,Forest
236,Bareland,Forest,Water,NULL,Water,Forest,NULL,Forest
237,Bareland,Forest,Water,Water,Water,Forest,NULL,Forest
238,Bareland,Forest,Water,Water,Water,Forest,Water,Water
239,Bareland,Forest,Water,Water,Water,Forest,Forest,Forest
240,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
241,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
242,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
243,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
244,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
245,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
246,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
247,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
248,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
249,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
250,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
252,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
253,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
254,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
255,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
256,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
257,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
258,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
259,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
260,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
261,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
262,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
263,Water,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
264,Water,NULL,Wetland,NULL,Wetland,Wetland,NULL,Water
265,Water,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
266,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
267,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
268,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
269,Water,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
270,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
271,Water,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
272,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,Water,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
274,Water,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Water
275,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
276,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
277,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
278,Water,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Forest
279,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Water
280,Water,NULL,Water,Non_Water,Water,Wetland,NULL,Forest
281,Water,NULL,Water,Non_Water,Water,Wetland,Water,Forest
282,Water,NULL,Water,Water,Water,Wetland,NULL,Water
283,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
284,Water,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
285,Water,NULL,Forest,NULL,Non_Wetland,NULL,Water,Water
286,Water,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
287,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
288,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
289,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
290,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
291,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
292,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
293,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
294,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
295,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Water
296,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
297,Water,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
298,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
299,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
300,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
301,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Water
302,Water,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Forest
303,Water,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
304,Water,NULL,Forest,Water,Non_Wetland,Forest,NULL,Forest
305,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
306,Water,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Forest
307,Water,Wetland,Water,NULL,Water,Wetland,NULL,Bareland
308,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
309,Water,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
310,Water,Wetland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Water
311,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
312,Water,Water,NULL,NULL,Non_Wetland,NULL,Forest,Water
313,Water,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Water
314,Water,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
315,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
316,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
317,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
318,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
319,Water,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Water
320,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
321,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
322,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
323,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
324,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Forest
325,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
326,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
327,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
328,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
329,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Forest,Bareland
330,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Forest,Water
331,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
332,Water,Water,NULL,Non_Water,Non_Wetland,Forest,NULL,Water
333,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Water
334,Water,Water,NULL,Water,Non_Wetland,Wetland,NULL,Water
335,Water,Water,NULL,Water,Non_Wetland,Wetland,NULL,Forest
336,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
337,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
338,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
339,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
340,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
341,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
342,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
343,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
344,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
345,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
346,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
347,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
348,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
349,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
350,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
351,Water,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
352,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
353,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
