Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R
93,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
94,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
100,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
101,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
104,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
105,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
106,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
110,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
113,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
117,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
118,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
119,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
123,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
124,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
125,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
127,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
128,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
129,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
130,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
131,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
133,NULL,Forest,Water,NULL,Water,Grassland,Water,Forest
134,NULL,Forest,Water,NULL,Water,Water,Water,Forest
135,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
137,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
138,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
139,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
141,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
142,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
143,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
144,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
145,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
146,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
147,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
148,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
149,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
150,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
151,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
152,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
153,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
154,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
155,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
156,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
157,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
158,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
159,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
160,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
161,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
162,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
163,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
164,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
165,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
166,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
167,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
168,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
169,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
170,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
171,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
172,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
173,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
174,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
175,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
176,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
177,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
178,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
179,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
180,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
181,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
182,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
183,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
184,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
185,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
186,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
187,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
188,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
189,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
190,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
191,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
192,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
193,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
194,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
195,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
196,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
197,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
198,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
199,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
200,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
201,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
202,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
203,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
205,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
206,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
207,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
208,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
211,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
212,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
213,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
214,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
215,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
216,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
217,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
218,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
219,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
220,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
221,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
222,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
223,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
224,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
225,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
226,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
227,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
228,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
229,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
230,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
231,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
232,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
233,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
234,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
235,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
236,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
237,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
238,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
239,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
240,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
241,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
243,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
244,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
245,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
246,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
247,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
248,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
249,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
250,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
251,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
252,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
253,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
254,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
255,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
256,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
257,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
259,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
260,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
261,Bareland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
262,Bareland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
263,Bareland,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
264,Bareland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
265,Bareland,NULL,Water,NULL,Water,Grassland,Water,Bareland
266,Bareland,NULL,Water,NULL,Water,Grassland,Water,Forest
267,Bareland,NULL,Water,NULL,Water,Grassland,Forest,Forest
268,Bareland,NULL,Water,NULL,Water,Water,Water,Forest
269,Bareland,NULL,Water,NULL,Water,Forest,Grassland,Forest
270,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
272,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
273,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Bareland
274,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
275,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
276,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
277,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
278,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
279,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
280,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Water,Bareland
281,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
282,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
283,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
284,Bareland,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
285,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
286,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
288,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
289,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
290,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
291,Bareland,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
292,Bareland,Forest,Water,NULL,Water,Grassland,Water,Forest
293,Bareland,Forest,Water,NULL,Water,Water,Water,Forest
294,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
295,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
296,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
297,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
298,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
299,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
300,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
301,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
302,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
303,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
304,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
305,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
306,Water,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
307,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
308,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
309,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
310,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
311,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
312,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
314,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
315,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
316,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
317,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
318,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
319,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
320,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
321,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
322,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
323,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
324,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
325,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
326,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
327,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
328,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
330,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
331,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
