Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPR_M_R
4736,Grassland,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
4737,Grassland,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
4738,Grassland,Water,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
4739,Grassland,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
4740,Grassland,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4741,Grassland,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
4742,Grassland,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Built-up
4743,Grassland,Water,Built-up,Water,Non_Wetland,NULL,Water,Wetland
4744,Grassland,Water,Built-up,Water,Non_Wetland,Grassland,NULL,Grassland
4745,Grassland,Water,Built-up,Water,Non_Wetland,Built-up,NULL,Grassland
4746,Grassland,Water,Water,NULL,Water,NULL,Water,Grassland
4747,Grassland,Water,Water,NULL,Water,Grassland,Water,Grassland
4748,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
4749,Grassland,Water,Water,Non_Water,Water,Grassland,Water,Grassland
4750,Grassland,Water,Water,Water,Water,NULL,Grassland,Grassland
4751,Grassland,Water,Water,Water,Water,Grassland,Water,Grassland
4752,Grassland,Water,Water,Water,Water,Grassland,Water,Forest
4753,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4754,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4755,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4756,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4757,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
4758,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
4759,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4760,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4761,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4762,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
4763,Grassland,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
4764,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4765,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4766,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
4767,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4768,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4769,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4770,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Water,Grassland
4771,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4772,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4773,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4774,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4775,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4776,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4777,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4778,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4779,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4780,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4781,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
4782,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4783,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
4784,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
4785,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
4786,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
4787,Grassland,Forest,NULL,NULL,Non_Wetland,Water,Water,Grassland
4788,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
4789,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4790,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4791,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4792,Grassland,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
4793,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4794,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4795,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4796,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4797,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4798,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4799,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4800,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4801,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4802,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4803,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4804,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
4805,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4806,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4807,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4808,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
4809,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
4810,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
4811,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4812,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
4813,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
4814,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4815,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4816,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
4817,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4818,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4819,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4820,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4821,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4822,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4823,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4824,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
4825,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
4826,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4827,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4828,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
4829,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4830,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4831,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4832,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4833,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4834,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4835,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4836,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
4837,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
4838,Grassland,Forest,Cropland,NULL,Non_Wetland,Water,Water,Grassland
4839,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
4840,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
4841,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
4842,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
4843,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4844,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
4845,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4846,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
4847,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
4848,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
4849,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Water,Grassland
4850,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
4851,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Grassland
4852,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
4853,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
4854,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Forest,Water
4855,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4856,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4857,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
4858,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
4859,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
4860,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Forest
4861,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
4862,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
4863,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
4864,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
4865,Grassland,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
4866,Grassland,Forest,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
4867,Grassland,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4868,Grassland,Forest,Water,NULL,Water,NULL,Water,Forest
4869,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
4870,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4871,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
4872,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4873,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4874,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4875,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4876,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4877,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4878,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4879,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4880,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4881,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4882,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4883,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4884,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
4885,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
4886,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
4887,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
4888,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4889,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4890,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4891,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4892,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
4893,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4894,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
4895,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
4896,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4897,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4898,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4899,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4900,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4901,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4902,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4903,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4904,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
4905,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4906,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
4907,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
4908,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
4909,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
4910,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
4911,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4912,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4913,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4914,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4915,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
4916,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
4917,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4918,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4919,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4920,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
4921,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
4922,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4923,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4924,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
4925,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
4926,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
4927,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
4928,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
4929,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4930,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4931,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
4932,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
4933,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
4934,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
4935,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
4936,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
4937,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
4938,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
4939,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
4940,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
4941,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
4942,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4943,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
4944,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
4945,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
4946,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
4947,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
4948,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
4949,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
4950,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
4951,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
4952,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
4953,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
4954,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
4955,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
4956,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
4957,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
4958,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
4959,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4960,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4961,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4962,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4963,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
4964,Cropland,NULL,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Forest
4965,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4966,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4967,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4968,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4969,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4970,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
4971,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4972,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4973,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4974,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
4975,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
4976,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4977,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4978,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4979,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
4980,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
4981,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
4982,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
4983,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4984,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4985,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4986,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4987,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
4988,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4989,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4990,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4991,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4992,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4993,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4994,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4995,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4996,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
4997,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4998,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4999,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
5000,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
5001,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
5002,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5003,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5004,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
5005,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
5006,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
5007,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
5008,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
5009,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5010,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5011,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
5012,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
5013,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
5014,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
5015,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
5016,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5017,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5018,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
5019,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
5020,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
5021,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
5022,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
5023,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
5024,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5025,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
5026,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
5027,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5028,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
5029,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
5030,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
5031,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
5032,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
5033,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
5034,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
5035,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
5036,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
5037,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
5038,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
5039,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
5040,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5041,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5042,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
5043,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
5044,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
5045,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
5046,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5047,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5048,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5049,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
5050,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
5051,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5052,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
5053,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Built-up
5054,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
5055,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
5056,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
5057,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
5058,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
5059,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
