Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
70,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
72,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
73,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Forest
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
78,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
79,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
80,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
81,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Water,Forest
82,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Forest
84,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Forest
88,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Grassland
89,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
90,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
91,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
92,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
93,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
94,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
95,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
96,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
97,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
98,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
99,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
100,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
101,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
102,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
103,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
104,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
105,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
106,NULL,Water,Water,Non_Water,Water,Water,Water,Grassland
107,NULL,Water,Water,Non_Water,Water,Water,Water,Water
108,NULL,Water,Water,Water,Water,Bareland,Bareland,Forest
109,NULL,Water,Water,Water,Water,Water,Wetland,Water
110,NULL,Water,Water,Water,Water,Water,Water,Wetland
111,NULL,Water,Water,Water,Water,Water,Water,Water
112,NULL,Water,Water,Water,Water,Water,Water,Forest
113,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
114,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
115,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
116,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
117,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
118,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
119,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
120,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
121,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
122,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
123,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
124,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
125,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
126,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
127,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
128,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Forest
129,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
130,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,Forest,Water,Non_Water,Water,Wetland,Water,Water
134,NULL,Forest,Water,Water,Water,Water,Water,Grassland
135,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
136,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
138,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
139,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
140,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
141,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
142,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
143,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
144,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
145,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
146,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
147,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
148,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
149,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
150,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
151,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
152,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
153,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
154,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
155,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
156,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
157,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
159,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
160,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
161,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
162,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
163,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
164,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Forest
165,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Forest
166,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
167,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
168,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
169,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
170,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
171,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
172,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
173,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
174,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Forest
175,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
176,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest,Water,Forest
177,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
178,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
179,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
180,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
181,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Forest
182,Grassland,NULL,Water,Non_Water,Water,Water,Water,Grassland
183,Grassland,NULL,Water,Non_Water,Water,Water,Water,Water
184,Grassland,NULL,Water,Non_Water,Water,Water,Water,Forest
185,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
186,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
187,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
188,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
189,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
190,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
191,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
192,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
193,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
194,Grassland,Wetland,Water,Non_Water,Water,Water,Water,Water
195,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
196,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
197,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
198,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
199,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
200,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
201,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
202,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
203,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
204,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
205,Grassland,Forest,Water,Non_Water,Water,Water,Water,Forest
206,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
207,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
208,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
209,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
210,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
211,Cropland,Forest,Water,Water,Water,Wetland,Water,Water
212,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
213,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
214,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
215,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
216,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
217,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
218,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
219,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
220,Wetland,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
221,Wetland,NULL,Water,Non_Water,Water,Wetland,Water,Water
222,Wetland,NULL,Water,Non_Water,Water,Water,Water,Water
223,Wetland,NULL,Water,Water,Water,Wetland,Water,Water
224,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
225,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Grassland
226,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
227,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
228,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Grassland
229,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
230,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
231,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
232,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
233,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
234,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
235,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
236,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Grassland
237,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Water
238,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
239,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
240,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Forest
241,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
242,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
243,Wetland,Wetland,Water,Water,Water,Water,Water,Water
244,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
245,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
246,Wetland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
247,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
248,Wetland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
249,Wetland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
250,Wetland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
251,Wetland,Water,Wetland,NULL,Wetland,Wetland,Bareland,Forest
252,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
253,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
254,Wetland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
255,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Water
256,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
257,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
258,Wetland,Water,Water,NULL,Water,Water,Water,Water
259,Wetland,Water,Water,Water,Water,Bareland,Bareland,Water
260,Wetland,Water,Water,Water,Water,Bareland,Water,Water
261,Wetland,Water,Water,Water,Water,Water,Wetland,Water
262,Wetland,Water,Water,Water,Water,Water,Bareland,Water
263,Wetland,Water,Water,Water,Water,Water,Water,Grassland
264,Wetland,Water,Water,Water,Water,Water,Water,Water
265,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
266,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
267,Wetland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
268,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
269,Wetland,Forest,Water,Non_Water,Water,Wetland,Water,Grassland
270,Wetland,Forest,Water,Non_Water,Water,Water,Water,Water
271,Wetland,Forest,Water,Non_Water,Water,Water,Water,Forest
272,Wetland,Forest,Water,Water,Water,Wetland,Water,Grassland
273,Wetland,Forest,Water,Water,Water,Wetland,Water,Water
274,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
275,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
276,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Water,Water
277,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
278,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
279,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
280,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
281,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
282,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
283,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
284,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
285,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
286,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Water
287,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
288,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Water,Forest
289,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Water
290,Bareland,Bareland,Wetland,NULL,Wetland,Water,Bareland,Forest
291,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
292,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
293,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
294,Bareland,Bareland,Wetland,Water,Wetland,NULL,Wetland,Water
295,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
296,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
297,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Forest
298,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
299,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Forest
300,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
301,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
302,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Forest
303,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
304,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
305,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
306,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Water
307,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
308,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
309,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
310,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Water
311,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
312,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Grassland
313,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Forest
314,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
315,Bareland,Bareland,Water,Non_Water,Water,NULL,Water,Water
316,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
317,Bareland,Bareland,Water,Water,Water,Bareland,Wetland,Water
318,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Grassland
319,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Water
320,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Forest
321,Bareland,Bareland,Water,Water,Water,Bareland,Water,Grassland
322,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
323,Bareland,Bareland,Water,Water,Water,Bareland,Water,Forest
324,Bareland,Bareland,Water,Water,Water,Water,Bareland,Grassland
325,Bareland,Bareland,Water,Water,Water,Water,Bareland,Water
326,Bareland,Bareland,Water,Water,Water,Water,Bareland,Forest
327,Bareland,Bareland,Water,Water,Water,Water,Water,Water
328,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
329,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
330,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
331,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Water,Water
332,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
333,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
334,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
335,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Water
336,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Forest
337,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
338,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
339,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
340,Bareland,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
341,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
342,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
343,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
344,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
345,Bareland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
346,Bareland,Water,Wetland,NULL,Wetland,NULL,Water,Water
347,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
348,Bareland,Water,Wetland,NULL,Wetland,Wetland,Bareland,Water
349,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
350,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
351,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
