Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGN_M_R
92,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
94,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
96,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
98,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
105,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
106,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
107,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
110,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
111,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
112,NULL,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
113,NULL,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
114,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
115,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
116,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
117,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
118,NULL,Water,Water,Water,Water,Water,Water,Water
119,NULL,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
121,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
122,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
123,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
124,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
125,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
126,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
127,NULL,Forest,Wetland,Water,Wetland,Bareland,Water,Water
128,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
129,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
130,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
131,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
132,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
133,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
135,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
136,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
137,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
138,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
139,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
140,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
141,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
142,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
143,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
144,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
145,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
146,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
147,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
148,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
149,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
150,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
151,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
152,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
153,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
154,Cropland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
155,Cropland,Water,Wetland,Water,Wetland,Bareland,Water,Water
156,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
157,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
158,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
159,Cropland,Water,Water,Water,Water,Water,Water,Water
160,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
161,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
162,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
163,Cropland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Bareland
164,Cropland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
165,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
166,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
167,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Water,Bareland
168,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
169,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
170,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
171,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
172,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
173,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
174,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Forest
175,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
176,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
177,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
178,Bareland,Bareland,Water,Water,Water,Bareland,Water,Grassland
179,Bareland,Bareland,Water,Water,Water,Bareland,Water,Bareland
180,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
181,Bareland,Bareland,Water,Water,Water,Water,Water,Water
182,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
183,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
184,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
185,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
186,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
187,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
188,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
189,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
190,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
191,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
192,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
193,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
194,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
195,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
196,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Forest
197,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
198,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
199,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
200,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
201,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
202,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
203,Bareland,Water,Water,NULL,Water,Water,Water,Water
204,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
205,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
206,Bareland,Water,Water,Non_Water,Water,Water,Water,Forest
207,Bareland,Water,Water,Water,Water,Bareland,Water,Grassland
208,Bareland,Water,Water,Water,Water,Bareland,Water,Water
209,Bareland,Water,Water,Water,Water,Bareland,Water,Forest
210,Bareland,Water,Water,Water,Water,Water,Water,Water
211,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Bareland
212,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
213,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
214,Bareland,Forest,Water,Non_Water,Water,Bareland,Water,Grassland
215,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
216,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
217,Water,Bareland,Water,Non_Water,Water,Water,Water,Water
218,Water,Bareland,Water,Water,Water,Water,Water,Water
219,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
220,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
221,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
222,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
223,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
224,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
225,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
226,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
227,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
228,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
229,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
230,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
231,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
232,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
233,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
234,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
235,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Grassland
236,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
237,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
238,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
239,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
240,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
241,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
242,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
243,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
244,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
245,Water,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,Water,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
247,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland,Water,Water
248,Water,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Forest
249,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
250,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
251,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
252,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
253,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
254,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Water
255,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
256,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Water
257,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
258,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
259,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
260,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
261,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
262,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
263,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
264,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
265,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
266,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
267,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
268,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
269,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
270,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
271,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
272,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
273,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
274,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
275,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
276,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
277,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
278,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
279,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
280,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
281,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
282,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
283,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
284,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
285,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
286,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
287,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
288,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
289,Water,Water,Wetland,Water,Wetland,Water,Water,Water
290,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
291,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
292,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
293,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Water
294,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
295,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
296,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
297,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
298,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
299,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
300,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
301,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
302,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
303,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
304,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
305,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
306,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
307,Water,Water,Bareland,Water,Non_Wetland,Water,Grassland,Water
308,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
309,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
310,Water,Water,Built-up,NULL,Non_Wetland,Water,Grassland,Water
311,Water,Water,Water,NULL,Water,NULL,Wetland,Water
312,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
313,Water,Water,Water,NULL,Water,NULL,Water,Water
314,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
315,Water,Water,Water,NULL,Water,Water,Grassland,Grassland
316,Water,Water,Water,NULL,Water,Water,Grassland,Water
317,Water,Water,Water,NULL,Water,Water,Wetland,Wetland
318,Water,Water,Water,NULL,Water,Water,Wetland,Water
319,Water,Water,Water,NULL,Water,Water,Wetland,Forest
320,Water,Water,Water,NULL,Water,Water,Water,Grassland
321,Water,Water,Water,NULL,Water,Water,Water,Water
322,Water,Water,Water,NULL,Water,Water,Water,Forest
323,Water,Water,Water,NULL,Water,Water,Forest,Water
324,Water,Water,Water,NULL,Water,Water,Forest,Forest
325,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
326,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
327,Water,Water,Water,Non_Water,Water,NULL,Water,Water
328,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
329,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Grassland
330,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
331,Water,Water,Water,Non_Water,Water,Water,Wetland,Grassland
332,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
333,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
334,Water,Water,Water,Non_Water,Water,Water,Water,Water
335,Water,Water,Water,Non_Water,Water,Water,Water,Forest
336,Water,Water,Water,Non_Water,Water,Water,Forest,Water
337,Water,Water,Water,Water,Water,NULL,Water,Grassland
338,Water,Water,Water,Water,Water,NULL,Water,Water
339,Water,Water,Water,Water,Water,Bareland,Water,Water
340,Water,Water,Water,Water,Water,Water,Grassland,Water
341,Water,Water,Water,Water,Water,Water,Wetland,Water
342,Water,Water,Water,Water,Water,Water,Wetland,Forest
343,Water,Water,Water,Water,Water,Water,Water,Grassland
344,Water,Water,Water,Water,Water,Water,Water,Water
345,Water,Water,Water,Water,Water,Water,Water,Forest
346,Water,Water,Water,Water,Water,Water,Forest,Water
347,Water,Water,Water,Water,Water,Water,Forest,Forest
348,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
349,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
350,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
351,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
352,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
353,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
354,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
355,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Water
356,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
357,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
358,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
359,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
360,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
361,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
362,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
363,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
364,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
365,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Water
366,Water,Water,Forest,Non_Water,Non_Wetland,Water,Grassland,Water
