Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R
118,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
119,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
120,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
121,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
122,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
123,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
124,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
125,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
126,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
127,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
128,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
129,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
130,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
131,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
132,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
133,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
134,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
135,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
136,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Wetland
137,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
138,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
139,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
140,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
141,Wetland,Water,Water,Water,Water,NULL,NULL,Water
142,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
143,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
144,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
145,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
146,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
147,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
148,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
149,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
150,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
151,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
152,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
153,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
154,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
155,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
156,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
157,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
158,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
159,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
160,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
162,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
163,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
164,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
165,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
166,Bareland,Water,Water,Water,Water,NULL,NULL,Water
167,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
168,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
169,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
170,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
171,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
174,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
177,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
178,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
179,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
180,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
181,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
182,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
183,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
184,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
185,Water,NULL,Water,NULL,Water,NULL,NULL,Water
186,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
187,Water,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
188,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
189,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
190,Water,NULL,Water,Water,Water,NULL,NULL,Water
191,Water,NULL,Water,Water,Water,NULL,NULL,Forest
192,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
193,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
194,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
196,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
198,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
200,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
201,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
202,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
203,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
204,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
205,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
206,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
207,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
208,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
209,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
210,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
211,Water,Wetland,Water,NULL,Water,NULL,NULL,Bareland
212,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
213,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
214,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
215,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
216,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
217,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
218,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
219,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
220,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
221,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
222,Water,Wetland,Water,Water,Water,NULL,NULL,Water
223,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
224,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
225,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
226,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
227,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
228,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
231,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
232,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
233,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
234,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
235,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
236,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
238,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
239,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
240,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
241,Water,Bareland,Water,Water,Water,NULL,NULL,Water
242,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
244,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
248,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
249,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
250,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
251,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
252,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
253,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
254,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
255,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
256,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
257,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
258,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
259,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
260,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
261,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
262,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
263,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
264,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
265,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
266,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
267,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
268,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
269,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
270,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
271,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
272,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
273,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
274,Water,Water,Water,NULL,Water,NULL,NULL,Water
275,Water,Water,Water,NULL,Water,NULL,NULL,Forest
276,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
277,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
278,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
279,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
280,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
281,Water,Water,Water,Water,Water,NULL,NULL,NULL
282,Water,Water,Water,Water,Water,NULL,NULL,Grassland
283,Water,Water,Water,Water,Water,NULL,NULL,Wetland
284,Water,Water,Water,Water,Water,NULL,NULL,Bareland
285,Water,Water,Water,Water,Water,NULL,NULL,Water
286,Water,Water,Water,Water,Water,NULL,NULL,Forest
287,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
289,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
290,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
291,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
294,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
295,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
296,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
297,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
298,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
299,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
300,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
301,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
303,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
304,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
305,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
306,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
307,Water,Forest,Water,NULL,Water,NULL,NULL,Grassland
308,Water,Forest,Water,NULL,Water,NULL,NULL,Water
309,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
310,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
311,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
312,Water,Forest,Water,Water,Water,NULL,NULL,Water
313,Water,Forest,Water,Water,Water,NULL,NULL,Forest
314,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
315,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
316,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
317,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
318,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
319,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
320,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
322,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
323,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
324,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
326,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
327,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
328,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Forest
329,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
330,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Forest
331,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
332,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
333,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
334,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
335,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
336,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
337,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
338,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
339,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
340,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
341,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
343,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
344,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
345,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
346,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
347,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
348,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
349,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
350,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
351,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
352,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
353,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
354,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
355,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
356,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
357,Forest,NULL,Water,Water,Water,NULL,NULL,Water
358,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
359,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
360,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
361,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
362,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
