Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R
50,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
53,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
55,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
56,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
59,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
60,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
61,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
62,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
63,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
64,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
65,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
66,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
67,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
68,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
69,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
70,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
71,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
73,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
74,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
75,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
76,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
77,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
78,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
80,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
81,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
82,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
83,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
84,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
85,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
86,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
87,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
88,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
89,Bareland,Water,Water,Water,Water,NULL,NULL,Water
90,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
92,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
93,Water,Bareland,Water,Water,Water,NULL,NULL,Water
94,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
95,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
96,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
97,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
98,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
99,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
100,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
101,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
102,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
104,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
105,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
106,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
107,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
108,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
109,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
111,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
112,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
113,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
114,Water,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
115,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
116,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
117,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
118,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
119,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
120,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
121,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
122,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
123,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
124,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
125,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
126,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
127,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
128,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
129,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
130,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
131,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
132,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
133,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
134,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
135,Water,Water,Water,NULL,Water,NULL,NULL,Water
136,Water,Water,Water,NULL,Water,NULL,NULL,Forest
137,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
138,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
139,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
140,Water,Water,Water,Water,Water,NULL,NULL,Grassland
141,Water,Water,Water,Water,Water,NULL,NULL,Bareland
142,Water,Water,Water,Water,Water,NULL,NULL,Water
143,Water,Water,Water,Water,Water,NULL,NULL,Forest
144,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
146,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
148,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
149,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
150,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
151,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
152,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
153,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
154,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
155,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
157,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
158,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
159,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
160,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
163,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
165,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
166,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
167,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
168,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
169,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
170,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
171,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
172,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
173,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
174,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
175,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
176,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
177,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
178,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
179,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
180,Forest,NULL,Water,Water,Water,NULL,NULL,Water
181,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
182,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
183,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
184,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
185,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
186,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
188,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
189,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
190,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
192,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
194,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
196,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
197,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
198,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
199,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
200,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
201,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
202,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
203,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
204,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
205,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
206,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
207,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
210,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
212,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
215,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
216,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
217,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
218,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
219,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
220,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
221,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
222,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
223,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
224,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
225,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
226,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
227,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
228,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
229,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
230,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
231,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
232,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
233,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
234,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
235,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
236,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
237,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
238,Forest,Water,Water,NULL,Water,NULL,NULL,Water
239,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
240,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
241,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
242,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
243,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
244,Forest,Water,Water,Water,Water,NULL,NULL,Water
245,Forest,Water,Water,Water,Water,NULL,NULL,Forest
246,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
247,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
249,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
250,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
251,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
252,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
253,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
254,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
255,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
256,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
257,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
258,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
259,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
260,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
261,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
262,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
263,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
264,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
265,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
267,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
268,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
269,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
270,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
272,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
274,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
275,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
276,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
278,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
279,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
280,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
281,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
282,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
283,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
284,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
285,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
286,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
287,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
288,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
289,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
290,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
291,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
293,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
294,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
295,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
296,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
297,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
298,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
299,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
300,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
301,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
302,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
303,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
304,Forest,Forest,Water,Water,Water,NULL,NULL,Water
305,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
306,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
307,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
308,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
309,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
310,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
312,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
313,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
314,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
315,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
