Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R
2202,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
2203,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
2204,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2205,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
2206,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
2207,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
2208,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
2209,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
2210,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
2211,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
2212,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
2213,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2214,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2215,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2216,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
2217,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2218,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2219,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2220,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2221,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
2222,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2223,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
2224,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
2225,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2226,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2227,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
2228,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
2229,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2230,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Bareland
2231,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2232,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Forest
2233,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
2234,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2235,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
2236,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2237,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
2238,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2239,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
2240,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
2241,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
2242,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2243,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2244,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2245,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2246,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2247,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
2248,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
2249,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Water
2250,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Shrubland,Forest
2251,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,NULL
2252,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Grassland
2253,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Built-up
2254,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
2255,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Grassland
2256,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
2257,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Bareland
2258,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
2259,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2260,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Built-up
2261,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
2262,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
2263,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
2264,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
2265,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2266,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2267,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2268,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
2269,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2270,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2271,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
2272,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2273,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2274,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
2275,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
2276,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
2277,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2278,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2279,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2280,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2281,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
2282,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2283,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2284,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2285,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2286,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2287,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2288,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
2289,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
2290,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
2291,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
2292,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2293,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2294,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2295,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2296,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
2297,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
2298,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
2299,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
2300,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,NULL
2301,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2302,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2303,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Forest
2304,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
2305,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
2306,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
2307,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
2308,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2309,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
2310,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
2311,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
2312,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
2313,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2314,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
2315,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
2316,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2317,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,NULL
2318,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2319,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
2320,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2321,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
2322,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
2323,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
2324,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Water
2325,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
2326,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2327,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
2328,NULL,Water,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
2329,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
2330,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
2331,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
2332,NULL,Water,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
2333,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
2334,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
2335,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
2336,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
2337,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
2338,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
2339,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
2340,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
2341,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
2342,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
2343,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Water,NULL
2344,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Water,Water
2345,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Water,Forest
2346,NULL,Water,NULL,Water,Non_Wetland,Grassland,Water,NULL
2347,NULL,Water,NULL,Water,Non_Wetland,Grassland,Water,Grassland
2348,NULL,Water,NULL,Water,Non_Wetland,Bareland,Shrubland,NULL
2349,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,NULL
2350,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
2351,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,Forest
2352,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2353,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2354,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
2355,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
2356,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2357,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
2358,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
2359,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2360,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2361,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2362,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2363,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
2364,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2365,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2366,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2367,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2368,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
2369,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2370,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
2371,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
2372,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
2373,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
2374,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
2375,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2376,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2377,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2378,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2379,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2380,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
2381,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2382,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2383,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2384,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2385,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2386,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
2387,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2388,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2389,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2390,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
2391,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2392,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
2393,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
2394,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2395,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2396,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2397,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
2398,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2399,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
2400,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
2401,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
2402,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
2403,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Water
2404,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2405,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
2406,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2407,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
2408,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
2409,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
2410,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
2411,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,NULL
2412,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
2413,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Water
2414,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Forest
2415,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Water
2416,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
2417,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
2418,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
2419,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
2420,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
2421,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,NULL
2422,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
2423,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
2424,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
2425,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
2426,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
2427,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,NULL
2428,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest,Water,Water
2429,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
2430,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
2431,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,NULL
2432,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
2433,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,Water
2434,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,Forest
2435,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Forest,Forest
2436,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
2437,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
2438,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
2439,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Shrubland,NULL
2440,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Bareland
2441,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Water
2442,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Forest
2443,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
2444,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
2445,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
2446,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
2447,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
2448,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
2449,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2450,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
2451,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
2452,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Water
2453,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2454,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2455,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2456,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2457,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2458,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
2459,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Water
2460,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
2461,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
2462,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2463,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2464,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2465,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
2466,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2467,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2468,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Water
2469,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2470,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2471,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2472,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2473,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
2474,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
2475,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
2476,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
2477,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
2478,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Water
2479,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
2480,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
2481,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
2482,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
2483,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Forest
2484,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
2485,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
2486,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
2487,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Forest
2488,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2489,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,Forest,NULL
2490,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
2491,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
2492,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
2493,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,NULL
2494,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
2495,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Forest
2496,NULL,Water,Cropland,Water,Non_Wetland,Shrubland,Bareland,Forest
2497,NULL,Water,Cropland,Water,Non_Wetland,Shrubland,Water,NULL
2498,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
2499,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
2500,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Water,Forest
2501,NULL,Water,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
2502,NULL,Water,Wetland,NULL,Wetland,Shrubland,Water,Bareland
2503,NULL,Water,Wetland,NULL,Wetland,Shrubland,Water,Forest
2504,NULL,Water,Wetland,NULL,Wetland,Shrubland,Forest,Forest
2505,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
2506,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Water
2507,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
2508,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
2509,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
2510,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
2511,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Shrubland,Forest
2512,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
2513,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
2514,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
2515,NULL,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
2516,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
2517,NULL,Water,Wetland,Water,Wetland,NULL,Water,Grassland
2518,NULL,Water,Wetland,Water,Wetland,Shrubland,Shrubland,Forest
2519,NULL,Water,Wetland,Water,Wetland,Shrubland,Water,NULL
2520,NULL,Water,Wetland,Water,Wetland,Shrubland,Water,Grassland
2521,NULL,Water,Wetland,Water,Wetland,Shrubland,Water,Water
2522,NULL,Water,Wetland,Water,Wetland,Shrubland,Water,Forest
2523,NULL,Water,Wetland,Water,Wetland,Grassland,Shrubland,Water
2524,NULL,Water,Wetland,Water,Wetland,Grassland,Water,NULL
2525,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
2526,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
2527,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
2528,NULL,Water,Wetland,Water,Wetland,Bareland,Shrubland,NULL
2529,NULL,Water,Wetland,Water,Wetland,Bareland,Shrubland,Grassland
2530,NULL,Water,Wetland,Water,Wetland,Bareland,Shrubland,Water
2531,NULL,Water,Wetland,Water,Wetland,Bareland,Water,NULL
