Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWR_M_R
1320,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Water
1321,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
1322,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,NULL
1323,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1324,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Cropland
1325,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
1326,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,NULL
1327,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
1328,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,Bareland
1329,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
1330,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
1331,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
1332,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Built-up
1333,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
1334,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,Grassland
1335,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
1336,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1337,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
1338,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
1339,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
1340,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Water
1341,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
1342,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1343,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1344,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
1345,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
1346,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
1347,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
1348,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1349,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
1350,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1351,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
1352,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1353,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
1354,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Water
1355,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
1356,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
1357,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
1358,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Cropland
1359,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
1360,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Built-up
1361,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Built-up,NULL
1362,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Built-up,Forest
1363,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,NULL
1364,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
1365,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Cropland
1366,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Bareland
1367,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Water
1368,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Forest
1369,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
1370,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Forest,Bareland
1371,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
1372,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1373,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
1374,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1375,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
1376,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Water
1377,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1378,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
1379,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1380,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
1381,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
1382,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Water
1383,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1384,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1385,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1386,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1387,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
1388,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Water
1389,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1390,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
1391,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1392,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
1393,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
1394,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,NULL
1395,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
1396,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
1397,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Forest
1398,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,NULL
1399,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1400,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Cropland
1401,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Bareland
1402,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Water
1403,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
1404,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1405,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
1406,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1407,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
1408,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1409,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
1410,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
1411,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1412,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
1413,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
1414,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
1415,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1416,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1417,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
1418,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,NULL
1419,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
1420,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
1421,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
1422,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,NULL
1423,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1424,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
1425,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Built-up
1426,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
1427,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
1428,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
1429,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
1430,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,NULL
1431,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
1432,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
1433,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Bareland
1434,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Water
1435,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Forest
1436,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,NULL
1437,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
1438,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Cropland
1439,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Wetland
1440,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Bareland
1441,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Water
1442,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,NULL
1443,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1444,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
1445,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Bareland
1446,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Water
1447,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Bareland,NULL
1448,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Bareland,Grassland
1449,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Bareland,Bareland
1450,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,NULL
1451,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
1452,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Cropland
1453,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Bareland
1454,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,NULL
1455,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Grassland
1456,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Wetland
1457,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Water
1458,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,NULL
1459,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
1460,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
1461,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,NULL
1462,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
1463,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Cropland
1464,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
1465,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Bareland,NULL
1466,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
1467,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1468,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1469,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1470,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1471,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
1472,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
1473,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,NULL
1474,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Grassland
1475,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Wetland
1476,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Bareland
1477,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Water
1478,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,NULL
1479,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
1480,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
1481,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Wetland
1482,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Bareland
1483,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Water
1484,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,NULL
1485,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Grassland
1486,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Bareland
1487,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Built-up,NULL
1488,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Built-up,Grassland
1489,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Built-up,Bareland
1490,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,NULL
1491,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Grassland
1492,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Cropland
1493,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Bareland
1494,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Built-up
1495,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Water
1496,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,NULL
1497,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Grassland
1498,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Cropland
1499,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Wetland
1500,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Bareland
1501,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Built-up
1502,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Water
1503,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,NULL
1504,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
1505,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Cropland
1506,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Wetland
1507,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Bareland
1508,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Water
1509,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Forest
1510,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,NULL
1511,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
1512,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Cropland
1513,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Wetland
1514,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Bareland
1515,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Water
1516,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Bareland,NULL
1517,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Bareland,Grassland
1518,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Bareland,Bareland
1519,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Grassland
1520,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Bareland
1521,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Water
1522,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,NULL
1523,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
1524,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
1525,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Bareland
1526,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Water
1527,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,NULL
1528,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Grassland
1529,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Cropland
1530,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Wetland
1531,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Bareland
1532,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Water
1533,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,NULL
1534,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1535,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
1536,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
1537,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Bareland
1538,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Water
1539,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,NULL
1540,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
1541,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Bareland
1542,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Built-up,Grassland
1543,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,NULL
1544,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
1545,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Bareland
1546,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
1547,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
1548,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
1549,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Bareland
1550,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Water
1551,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Shrubland,NULL
1552,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Shrubland,Bareland
1553,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Shrubland,Water
1554,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1555,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
1556,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Water
1557,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,NULL
1558,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1559,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
1560,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Built-up
1561,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,NULL
1562,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
1563,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
1564,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
1565,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,NULL
1566,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Grassland
1567,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Cropland
1568,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Wetland
1569,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Bareland
1570,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Water
1571,NULL,NULL,Cropland,Water,Non_Wetland,Water,Shrubland,NULL
1572,NULL,NULL,Cropland,Water,Non_Wetland,Water,Shrubland,Grassland
1573,NULL,NULL,Cropland,Water,Non_Wetland,Water,Shrubland,Bareland
1574,NULL,NULL,Cropland,Water,Non_Wetland,Water,Shrubland,Water
1575,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
1576,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Cropland
1577,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Wetland
1578,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Bareland
1579,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Water
1580,NULL,NULL,Cropland,Water,Non_Wetland,Water,Bareland,NULL
1581,NULL,NULL,Cropland,Water,Non_Wetland,Water,Bareland,Grassland
1582,NULL,NULL,Cropland,Water,Non_Wetland,Water,Bareland,Bareland
1583,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,NULL
1584,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
1585,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Cropland
1586,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Wetland
1587,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Bareland
1588,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Built-up
1589,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
1590,NULL,NULL,Cropland,Water,Non_Wetland,Forest,NULL,Grassland
1591,NULL,NULL,Cropland,Water,Non_Wetland,Forest,NULL,Wetland
1592,NULL,NULL,Cropland,Water,Non_Wetland,Forest,NULL,Bareland
1593,NULL,NULL,Cropland,Water,Non_Wetland,Forest,NULL,Water
1594,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Shrubland,Grassland
1595,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Shrubland,Cropland
1596,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Shrubland,Wetland
1597,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Shrubland,Water
1598,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Shrubland,Forest
1599,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Grassland,Grassland
1600,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Grassland,Wetland
1601,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Grassland,Water
1602,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
1603,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1604,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
1605,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
1606,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
1607,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
1608,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
1609,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,NULL
1610,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
1611,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
1612,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Built-up
1613,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Water
1614,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
1615,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
1616,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
1617,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Bareland
1618,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
1619,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,NULL
1620,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
1621,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Bareland
1622,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
1623,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
1624,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Bareland
1625,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Water
1626,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,NULL
1627,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
1628,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
1629,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Bareland
1630,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Water
1631,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
1632,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
1633,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
1634,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
1635,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Bareland
1636,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Water
1637,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
1638,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
1639,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1640,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Cropland
1641,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1642,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Water
1643,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1644,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,NULL
1645,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
1646,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Built-up,Wetland
