Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMP_M_R
3353,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
3354,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3355,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3356,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3357,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
3358,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
3359,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
3360,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
3361,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3362,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
3363,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
3364,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
3365,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
3366,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3367,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3368,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
3369,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
3370,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3371,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3372,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3373,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3374,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3375,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
3376,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3377,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
3378,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
3379,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3380,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3381,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
3382,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Water
3383,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3384,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
3385,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
3386,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3387,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
3388,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
3389,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3390,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
3391,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
3392,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Water
3393,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
3394,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3395,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3396,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
3397,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Wetland
3398,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3399,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3400,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3401,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Wetland
3402,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3403,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
3404,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3405,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3406,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
3407,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
3408,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
3409,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
3410,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
3411,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
3412,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Cropland
3413,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Wetland
3414,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
3415,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
3416,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
3417,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3418,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
3419,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3420,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
3421,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
3422,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Wetland
3423,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3424,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
3425,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3426,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
3427,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3428,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
3429,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3430,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
3431,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3432,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
3433,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
3434,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Wetland
3435,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
3436,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3437,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
3438,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
3439,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
3440,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3441,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
3442,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3443,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3444,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
3445,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
3446,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3447,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
3448,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
3449,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest,Wetland
3450,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
3451,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Cropland
3452,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
3453,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Cropland
3454,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3455,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3456,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3457,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3458,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3459,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3460,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3461,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3462,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
3463,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3464,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
3465,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
3466,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
3467,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3468,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3469,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
3470,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
3471,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3472,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3473,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3474,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3475,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3476,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3477,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3478,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
3479,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
3480,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
3481,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3482,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3483,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3484,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3485,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
3486,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3487,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3488,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3489,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3490,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3491,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3492,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
3493,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3494,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3495,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3496,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
3497,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
3498,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
3499,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
3500,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3501,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
3502,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3503,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3504,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3505,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
3506,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3507,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3508,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3509,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
3510,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
3511,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
3512,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
3513,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
3514,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
3515,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
3516,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
3517,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
3518,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3519,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
3520,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
3521,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
3522,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3523,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3524,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
3525,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3526,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
3527,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
3528,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
3529,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3530,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3531,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
3532,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
3533,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
3534,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
3535,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
3536,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
3537,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
3538,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3539,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3540,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
3541,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3542,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3543,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3544,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
3545,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3546,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3547,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3548,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
3549,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
3550,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
3551,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Forest,Cropland
3552,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3553,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3554,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3555,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3556,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3557,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3558,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3559,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3560,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3561,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3562,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3563,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3564,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3565,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3566,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
3567,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
3568,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3569,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
3570,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
3571,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3572,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3573,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3574,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3575,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3576,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3577,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3578,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3579,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3580,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3581,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
3582,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
3583,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3584,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3585,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3586,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
3587,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3588,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3589,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3590,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3591,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3592,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3593,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3594,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3595,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3596,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3597,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3598,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3599,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
3600,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3601,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3602,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
3603,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
3604,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
3605,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3606,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3607,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
3608,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3609,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
3610,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3611,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3612,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
3613,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3614,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3615,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3616,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
3617,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3618,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3619,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
3620,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3621,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
3622,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
3623,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
3624,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
3625,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
3626,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3627,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3628,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3629,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
3630,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3631,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3632,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3633,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3634,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3635,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3636,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3637,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3638,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3639,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3640,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3641,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3642,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3643,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3644,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3645,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3646,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
3647,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
3648,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3649,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
3650,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3651,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3652,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3653,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3654,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Built-up
3655,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3656,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3657,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3658,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
3659,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3660,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3661,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
3662,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3663,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
3664,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
3665,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
