Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
150,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,NULL
156,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
159,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
171,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
173,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
175,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,NULL
177,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
179,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
180,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
183,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
186,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
187,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
188,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
189,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
190,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
192,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
194,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
196,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
198,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
199,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
201,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
204,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
205,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
207,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
208,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
209,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
211,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
212,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
213,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
214,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
215,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
216,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
217,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
218,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
219,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
220,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
230,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
231,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
232,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
233,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
234,NULL,NULL,Wetland,NULL,Wetland,Water,Shrubland,Wetland
235,NULL,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
236,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
237,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
238,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
239,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
240,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
241,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
242,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
243,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
244,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
245,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
246,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
247,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
248,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
250,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
251,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
252,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
253,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
254,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
255,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
257,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
258,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
259,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Wetland
260,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
261,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
262,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
263,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
264,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
265,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
266,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
268,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
270,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
271,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
272,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
273,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
274,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
275,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
276,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
278,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
279,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
280,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
281,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
282,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
283,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
284,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
285,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Bareland
288,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
291,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
293,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
294,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
295,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
296,NULL,NULL,Water,NULL,Water,Grassland,Water,Wetland
297,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
298,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
299,NULL,NULL,Water,NULL,Water,Wetland,Shrubland,Wetland
300,NULL,NULL,Water,NULL,Water,Wetland,Grassland,NULL
301,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
302,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Forest
303,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
304,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
305,NULL,NULL,Water,NULL,Water,Water,Shrubland,Grassland
306,NULL,NULL,Water,NULL,Water,Water,Shrubland,Wetland
307,NULL,NULL,Water,NULL,Water,Water,Grassland,Wetland
308,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
309,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
310,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
311,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Wetland
312,NULL,NULL,Water,Non_Water,Water,Grassland,Forest,Grassland
313,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
314,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
315,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
316,NULL,NULL,Water,Water,Water,Grassland,Grassland,Wetland
317,NULL,NULL,Water,Water,Water,Grassland,Grassland,Forest
318,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
319,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
320,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
321,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
322,NULL,NULL,Water,Water,Water,Grassland,Water,Water
323,NULL,NULL,Water,Water,Water,Grassland,Forest,Grassland
324,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
325,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
326,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
327,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
328,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
329,NULL,NULL,Water,Water,Water,Water,Grassland,Wetland
330,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
331,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
332,NULL,NULL,Water,Water,Water,Water,Water,Grassland
333,NULL,NULL,Water,Water,Water,Water,Water,Wetland
334,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
335,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
