Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R
151,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
155,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
172,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
173,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
174,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
175,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Water
176,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
178,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
179,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Forest,Forest
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
183,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
184,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
185,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
186,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
188,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Bareland,Bareland
189,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
190,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
192,NULL,Wetland,Water,Water,Water,Water,Bareland,Bareland
193,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
195,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
196,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
197,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
198,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
199,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
200,NULL,Wetland,Forest,Water,Non_Wetland,Shrubland,Bareland,Bareland
201,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
202,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
203,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
206,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
208,NULL,Bareland,Water,NULL,Water,Grassland,Wetland,Forest
209,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Grassland
210,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Forest
211,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
225,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
226,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
228,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
229,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
235,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
236,NULL,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Forest
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
238,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Bareland
239,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Water
240,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
244,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
245,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
247,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
249,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
251,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
252,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
253,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
254,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
255,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
256,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
257,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
258,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
259,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
260,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
261,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
262,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
264,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
265,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
266,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
267,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
268,NULL,Water,Grassland,NULL,Non_Wetland,Forest,Bareland,Water
269,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
270,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
271,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
272,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
273,NULL,Water,Wetland,NULL,Wetland,NULL,Bareland,Bareland
274,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
275,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
276,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
277,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
278,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
279,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
280,NULL,Water,Water,NULL,Water,Bareland,Bareland,Grassland
281,NULL,Water,Water,NULL,Water,Bareland,Bareland,Bareland
282,NULL,Water,Water,NULL,Water,Bareland,Bareland,Water
283,NULL,Water,Water,Non_Water,Water,Bareland,Forest,Water
284,NULL,Water,Water,Water,Water,Grassland,Bareland,Bareland
285,NULL,Water,Water,Water,Water,Grassland,Bareland,Water
286,NULL,Water,Water,Water,Water,Grassland,Water,Water
287,NULL,Water,Water,Water,Water,Grassland,Forest,Water
288,NULL,Water,Water,Water,Water,Bareland,Bareland,Water
289,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
290,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
291,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
292,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
293,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
294,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
295,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
296,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
297,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
298,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
299,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
300,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
301,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
302,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
303,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
304,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
305,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
306,NULL,Water,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
307,NULL,Water,Forest,Water,Non_Wetland,Grassland,Bareland,Water
308,NULL,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
309,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
310,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
311,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
312,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
313,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
315,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
316,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
317,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
318,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
319,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
320,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
322,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
325,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
326,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
327,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
328,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
329,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
330,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
331,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
