Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXQ_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
54,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Water
57,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Wetland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Built-up
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
185,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
195,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
199,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
200,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
204,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
205,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
207,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
209,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
210,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
211,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
212,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
214,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
221,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Built-up
228,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
232,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
233,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
234,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
236,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
237,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
240,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
241,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Water
242,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
245,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Bareland
246,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
247,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
248,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
249,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
251,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
252,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
253,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
254,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
256,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
257,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
258,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
259,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
260,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
261,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Wetland
262,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
263,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
265,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
266,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
268,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
269,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
270,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Forest
271,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
272,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
273,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
275,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
277,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
278,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
280,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
284,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
285,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
288,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
290,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Bareland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
293,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
294,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
297,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
298,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
300,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
302,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
303,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
304,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
306,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
312,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
315,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Bareland
316,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
318,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
322,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
