Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Forest
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
190,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
191,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
193,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
196,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Wetland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
280,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
281,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
285,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
286,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
287,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
288,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
289,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
290,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
291,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
293,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
294,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
295,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
296,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
297,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Built-up,Forest
299,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
300,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
301,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
302,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
304,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
305,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
307,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
308,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
310,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
315,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
316,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
318,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
319,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
320,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
321,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
322,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
323,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
