Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Built-up
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Forest
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,NULL,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Forest
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
158,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
160,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
161,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Built-up,Forest
165,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Built-up
168,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
169,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Forest
170,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
172,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
174,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
177,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
180,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
181,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
201,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
221,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
242,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
244,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
247,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
248,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
249,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
250,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
251,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
252,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
253,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
254,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
255,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
256,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
258,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
259,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
260,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
261,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
262,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
263,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
264,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
266,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
267,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
268,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
269,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,NULL,Water
270,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
271,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Forest
272,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
273,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
280,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
288,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
290,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
291,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
293,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
296,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
297,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
300,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
306,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Forest
308,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
311,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
315,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
317,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
318,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
319,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
320,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
321,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
322,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
323,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
324,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
325,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
326,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
327,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
