Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Water
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
210,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Water
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
