Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PLQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PLQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PLQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PLQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PLQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PLQ_M_R
121,NULL,NULL,Water,Non_Water,Water,Wetland
122,NULL,NULL,Water,Non_Water,Water,Bareland
123,NULL,NULL,Water,Non_Water,Water,Water
124,NULL,NULL,Water,Water,Water,Grassland
125,NULL,NULL,Water,Water,Water,Wetland
126,NULL,NULL,Water,Water,Water,Bareland
127,NULL,NULL,Water,Water,Water,Water
128,NULL,NULL,Water,Water,Water,Forest
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
133,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
134,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
135,NULL,NULL,Forest,NULL,Non_Wetland,Forest
136,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
141,NULL,NULL,Forest,Water,Non_Wetland,Grassland
142,NULL,NULL,Forest,Water,Non_Wetland,Wetland
143,NULL,NULL,Forest,Water,Non_Wetland,Water
144,NULL,NULL,Forest,Water,Non_Wetland,Forest
145,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
146,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
155,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
156,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
159,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
160,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
161,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
167,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
168,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
169,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
170,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
171,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
172,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
173,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
174,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
175,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
176,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
177,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
178,NULL,Cropland,Water,Non_Water,Water,Grassland
179,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
180,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
181,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
182,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
183,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
185,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
188,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
189,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
190,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
191,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
192,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
193,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
194,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
195,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
196,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
197,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
198,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
199,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
200,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
201,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
202,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
204,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
205,NULL,Wetland,Wetland,NULL,Wetland,Grassland
206,NULL,Wetland,Wetland,NULL,Wetland,Wetland
207,NULL,Wetland,Wetland,NULL,Wetland,Water
208,NULL,Wetland,Wetland,NULL,Wetland,Forest
209,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
210,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
211,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
212,NULL,Wetland,Wetland,Water,Wetland,Grassland
213,NULL,Wetland,Wetland,Water,Wetland,Wetland
214,NULL,Wetland,Wetland,Water,Wetland,Forest
215,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
216,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
217,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
218,NULL,Wetland,Water,NULL,Water,Grassland
219,NULL,Wetland,Water,Water,Water,Grassland
220,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
221,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
222,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
223,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
224,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
225,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
226,NULL,Wetland,Forest,Water,Non_Wetland,Forest
227,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
228,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
229,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
230,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
231,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
232,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
233,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
234,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
235,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
236,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
237,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
238,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
239,NULL,Bareland,Wetland,NULL,Wetland,Water
240,NULL,Bareland,Wetland,NULL,Wetland,Forest
241,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
242,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
243,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
244,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
245,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
246,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
247,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
248,NULL,Bareland,Water,NULL,Water,Water
249,NULL,Bareland,Water,Non_Water,Water,Wetland
250,NULL,Bareland,Water,Non_Water,Water,Water
251,NULL,Bareland,Water,Water,Water,Wetland
252,NULL,Bareland,Water,Water,Water,Bareland
253,NULL,Bareland,Water,Water,Water,Water
254,NULL,Bareland,Forest,NULL,Non_Wetland,Water
255,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
256,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
257,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
258,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
259,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
260,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
261,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
262,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
263,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
264,NULL,Built-up,NULL,Water,Non_Wetland,Bareland
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
272,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
273,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
274,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
275,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
276,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
277,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
278,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
279,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
280,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
281,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
282,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
283,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
284,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
286,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
287,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
289,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
290,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
291,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
292,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
293,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
295,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
296,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
297,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
298,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
299,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
300,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
301,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
302,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
303,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
304,NULL,Built-up,Wetland,NULL,Wetland,Forest
305,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
306,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
307,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
308,NULL,Built-up,Wetland,Non_Water,Wetland,Water
309,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
310,NULL,Built-up,Wetland,Water,Wetland,Grassland
311,NULL,Built-up,Wetland,Water,Wetland,Wetland
312,NULL,Built-up,Wetland,Water,Wetland,Water
313,NULL,Built-up,Wetland,Water,Wetland,Forest
314,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
315,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
316,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
317,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
318,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
319,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
320,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
321,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
322,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
328,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
329,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
330,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
331,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
332,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
333,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
334,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
335,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
336,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
337,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
338,NULL,Built-up,Built-up,Water,Non_Wetland,Water
339,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
340,NULL,Built-up,Water,NULL,Water,Grassland
341,NULL,Built-up,Water,NULL,Water,Bareland
342,NULL,Built-up,Water,Water,Water,Bareland
343,NULL,Built-up,Water,Water,Water,Water
344,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
345,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
346,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
347,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
348,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
349,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
350,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
351,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
352,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
353,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
354,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
355,NULL,Water,Shrubland,NULL,Non_Wetland,Water
356,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
357,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
358,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
359,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
360,NULL,Water,Shrubland,Water,Non_Wetland,Water
361,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
362,NULL,Water,Grassland,NULL,Non_Wetland,Forest
363,NULL,Water,Grassland,Water,Non_Wetland,Grassland
364,NULL,Water,Wetland,Non_Water,Wetland,Forest
365,NULL,Water,Wetland,Water,Wetland,Grassland
366,NULL,Water,Wetland,Water,Wetland,Bareland
367,NULL,Water,Wetland,Water,Wetland,Water
368,NULL,Water,Wetland,Water,Wetland,Forest
369,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
370,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
371,NULL,Water,Built-up,Water,Non_Wetland,Bareland
372,NULL,Water,Water,Non_Water,Water,Forest
373,NULL,Water,Forest,NULL,Non_Wetland,Forest
374,NULL,Water,Forest,Water,Non_Wetland,Forest
375,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
376,NULL,Forest,NULL,NULL,Non_Wetland,Forest
377,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
378,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
379,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
380,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
381,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
382,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
383,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
384,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
385,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
386,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
387,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
388,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
389,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
390,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
391,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
392,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
393,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
394,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
395,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
396,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
397,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
398,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
399,NULL,Forest,Wetland,NULL,Wetland,NULL
400,NULL,Forest,Wetland,NULL,Wetland,Grassland
401,NULL,Forest,Wetland,NULL,Wetland,Forest
402,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
403,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
404,NULL,Forest,Wetland,Non_Water,Wetland,Forest
405,NULL,Forest,Wetland,Water,Wetland,Grassland
406,NULL,Forest,Wetland,Water,Wetland,Forest
407,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
408,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
409,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
410,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
411,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
412,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
413,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
414,NULL,Forest,Water,Non_Water,Water,Forest
415,NULL,Forest,Forest,NULL,Non_Wetland,NULL
416,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
417,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
418,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
419,NULL,Forest,Forest,NULL,Non_Wetland,Forest
420,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
421,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
422,NULL,Forest,Forest,Water,Non_Wetland,Grassland
423,NULL,Forest,Forest,Water,Non_Wetland,Forest
424,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
425,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
426,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
427,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
428,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
