Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
88,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
89,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
92,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
94,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Wetland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
213,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Forest
214,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
216,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
218,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
219,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
221,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
222,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
224,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
226,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Wetland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Wetland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Wetland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
267,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
268,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
269,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
271,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
272,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
273,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
275,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
276,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
280,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
286,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Wetland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Wetland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
313,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
314,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
