Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
72,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
80,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
101,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
108,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
110,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
118,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
119,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
120,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
121,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
122,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
123,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
125,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Bareland
126,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
134,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
145,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
146,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
147,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
148,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
149,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
150,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
151,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
152,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
153,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
154,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
155,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
157,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
158,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
159,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
160,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
165,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
168,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Wetland
173,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
174,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
175,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
176,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Built-up
177,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
178,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
179,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
180,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
181,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
182,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
183,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
184,NULL,NULL,Water,Water,Water,Water,Water,Grassland
185,NULL,NULL,Water,Water,Water,Water,Water,Wetland
186,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
188,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
191,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
192,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
194,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
195,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
196,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
198,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
199,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
201,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
205,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
207,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
208,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
209,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Bareland
210,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
212,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
214,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
216,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
217,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
219,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
220,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
223,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
224,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
225,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
226,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
227,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
228,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
229,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
230,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
233,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
236,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
237,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
241,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
242,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
245,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
247,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
249,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
250,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
251,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
253,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
254,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
256,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
257,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
258,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
259,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
260,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
261,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
262,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
263,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
264,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
265,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
266,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
267,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
268,NULL,Wetland,Wetland,NULL,Wetland,Water,NULL,Water
269,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
270,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
271,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
272,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Water
273,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
274,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
275,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
276,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
277,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
278,NULL,Wetland,Wetland,Water,Wetland,Water,NULL,Wetland
279,NULL,Wetland,Wetland,Water,Wetland,Water,NULL,Water
280,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
281,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
282,NULL,Wetland,Water,NULL,Water,Water,Water,Wetland
283,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
284,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
285,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
286,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
287,NULL,Wetland,Water,Water,Water,Water,Wetland,Water
288,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
289,NULL,Wetland,Water,Water,Water,Water,Water,Water
290,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
291,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
292,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
293,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
294,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
295,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
296,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
297,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
299,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,Bareland,Wetland,Non_Water,Wetland,Water,Water,Wetland
301,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
302,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Bareland,Water,Water,Water,Water,Water,Water
304,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
305,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
306,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
309,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
310,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
311,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
312,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
313,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Forest
314,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
315,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
316,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
317,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
318,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Water,Built-up
319,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Water,Water
320,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
321,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Water,Water
322,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Water,Bareland
323,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
328,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
