Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
152,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
153,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
157,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
